epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,178.411,1.77677,3.476,1.22764,1.39015,0,0.89988,0.83588,0.89652,0.42165,0.77681,0.71641,0.69411,0.22607,1.68121,3.42479,1.04177,1.38534,0,0.000199655,0.000199655,0.0802341
2,328.94,1.65562,3.18243,0.94571,1.31436,0,0.92227,0.87116,0.92107,0.44127,0.74306,0.69693,0.63561,0.18891,1.64565,3.39277,0.92666,1.35898,0,0.000399558,0.000399558,0.060434
3,483.387,1.6335,3.11678,0.89535,1.30003,0,0.92304,0.91919,0.9357,0.41794,0.83531,0.83151,0.76933,0.25811,1.79365,2.68147,0.84151,1.40316,0,0.000599069,0.000599069,0.0406336
4,637.248,1.60285,3.05892,0.83715,1.27918,0,0.92916,0.90333,0.9249,0.42658,0.81932,0.79269,0.73532,0.22931,1.84044,3.01915,0.81155,1.39034,0,0.000797898,0.000797898,0.0208324
5,790.465,1.59511,3.0262,0.82099,1.27347,0,0.93581,0.93255,0.95273,0.46846,0.84921,0.84451,0.79083,0.28312,1.67804,2.67673,0.77189,1.34847,0,0.000995753,0.000995753,0.00103024
6,951.072,1.57761,3.001,0.80063,1.26615,0,0.95011,0.92042,0.9448,0.47348,0.88838,0.85958,0.83592,0.29223,1.66009,2.67357,0.76177,1.31278,0,0.000993906,0.000993906,0.000993906
7,1122.85,1.56538,2.96414,0.78042,1.26176,0,0.94511,0.9399,0.96333,0.50418,0.85725,0.85573,0.82085,0.29218,1.5831,2.6259,0.71366,1.28871,0,0.000991232,0.000991232,0.000991232
8,1282.39,1.556,2.92656,0.75866,1.25308,0,0.95055,0.9581,0.96748,0.50288,0.8781,0.88054,0.84133,0.30053,1.62527,2.56838,0.70057,1.29466,0,0.000988079,0.000988079,0.000988079
9,1439.1,1.54819,2.9172,0.74995,1.24977,0,0.94477,0.94762,0.95856,0.49349,0.87354,0.87429,0.83377,0.29991,1.60691,2.56732,0.7376,1.29296,0,0.000984449,0.000984449,0.000984449
10,1594.7,1.53501,2.90161,0.7407,1.24646,0,0.95175,0.95019,0.9652,0.49843,0.87702,0.87425,0.8391,0.30956,1.61119,2.57085,0.66964,1.2932,0,0.000980345,0.000980345,0.000980345
