epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,668.042,1.19344,1.96347,0.60141,1.12178,0,0.97525,0.97431,0.98827,0.66779,0.91222,0.9039,0.90084,0.50389,0.87621,1.30857,0.35573,0.97443,0,0.000199919,0.000199919,0.080208
2,1300.81,1.17613,1.92988,0.57552,1.11301,0,0.98139,0.97499,0.99047,0.67613,0.92019,0.90832,0.91032,0.5011,0.86856,1.34347,0.41316,0.96238,0,0.000399439,0.000399439,0.0604075
3,1928.63,1.17661,1.93411,0.57272,1.1118,0,0.9794,0.98476,0.99146,0.68606,0.91279,0.915,0.90656,0.51929,0.8455,1.26752,0.35024,0.95462,0,0.000597043,0.000597043,0.0406051
4,2556.23,1.16541,1.90985,0.55825,1.10894,0,0.9793,0.97974,0.99039,0.6901,0.92689,0.92598,0.92138,0.5264,0.83668,1.26743,0.33874,0.95265,0,0.000791308,0.000791308,0.0207994
5,3180.03,1.16081,1.90424,0.55442,1.10718,0,0.98141,0.982,0.99131,0.68832,0.92381,0.9236,0.91851,0.52204,0.84238,1.26606,0.33096,0.95222,0,0.000980841,0.000980841,0.000988899
6,3805.56,1.16097,1.89509,0.55408,1.10673,0,0.97976,0.98071,0.99072,0.69175,0.92486,0.92086,0.92044,0.52845,0.83317,1.26334,0.32923,0.94829,0,0.000970307,0.000970307,0.000970307
7,4433.25,1.16111,1.89352,0.55128,1.1064,0,0.98288,0.98212,0.99142,0.69419,0.92402,0.91948,0.91754,0.52586,0.82684,1.25792,0.3206,0.94671,0,0.000957452,0.000957452,0.000957452
8,5057.04,1.15545,1.89044,0.54874,1.10276,0,0.98044,0.982,0.99112,0.69292,0.92518,0.92512,0.91982,0.52777,0.82732,1.25551,0.32014,0.94648,0,0.000942422,0.000942422,0.000942422
9,5683.84,1.16034,1.90105,0.54694,1.10386,0,0.98136,0.98305,0.99113,0.69404,0.92558,0.921,0.91879,0.52551,0.82599,1.25629,0.31601,0.9466,0,0.000925299,0.000925299,0.000925299
10,6308.53,1.15709,1.89468,0.54512,1.10295,0,0.98223,0.98042,0.9911,0.6941,0.92387,0.92179,0.91809,0.52436,0.82279,1.25444,0.31532,0.94492,0,0.000906173,0.000906173,0.000906173
11,6931.65,1.1547,1.88581,0.54231,1.10158,0,0.98052,0.98325,0.99133,0.69575,0.92322,0.92412,0.91896,0.5296,0.81974,1.24964,0.31189,0.94355,0,0.000885147,0.000885147,0.000885147
12,7555.89,1.15271,1.89126,0.54227,1.10145,0,0.98115,0.98246,0.99126,0.69715,0.9272,0.92688,0.92186,0.53095,0.81851,1.24892,0.31136,0.94315,0,0.000862333,0.000862333,0.000862333
13,8183.42,1.15149,1.88274,0.53691,1.10404,0,0.98193,0.98314,0.99122,0.69571,0.92538,0.92366,0.91969,0.53038,0.82116,1.2482,0.30883,0.94449,0,0.000837853,0.000837853,0.000837853
14,8811.7,1.14575,1.88383,0.53621,1.09969,0,0.98258,0.98333,0.99118,0.69543,0.92411,0.92349,0.91889,0.52946,0.81824,1.24783,0.30491,0.94362,0,0.000811837,0.000811837,0.000811837
15,9441.31,1.14483,1.87121,0.5349,1.09705,0,0.98159,0.98291,0.99118,0.69656,0.9227,0.92303,0.91834,0.53,0.81727,1.24545,0.30377,0.94261,0,0.000784423,0.000784423,0.000784423
16,10069.9,1.1402,1.87604,0.5336,1.09725,0,0.98224,0.98302,0.99124,0.6979,0.92578,0.92541,0.92026,0.52953,0.81555,1.24486,0.30345,0.94192,0,0.000755759,0.000755759,0.000755759
17,10699.2,1.13494,1.8646,0.52602,1.09304,0,0.9824,0.98257,0.99122,0.69804,0.92495,0.92484,0.91924,0.53012,0.81525,1.24368,0.3011,0.94181,0,0.000725997,0.000725997,0.000725997
18,11327.9,1.13556,1.86595,0.52334,1.09291,0,0.98278,0.98336,0.99138,0.69816,0.92598,0.92575,0.91939,0.53013,0.81464,1.24411,0.29932,0.94151,0,0.000695296,0.000695296,0.000695296
19,11959.3,1.13147,1.85654,0.52224,1.09177,0,0.98283,0.98466,0.99147,0.69833,0.92792,0.92813,0.92082,0.52996,0.81348,1.24397,0.29906,0.94099,0,0.00066382,0.00066382,0.00066382
20,12588.1,1.12182,1.85581,0.51731,1.08768,0,0.98349,0.98506,0.99163,0.69894,0.92818,0.92835,0.92101,0.53051,0.81345,1.24345,0.29858,0.94081,0,0.000631737,0.000631737,0.000631737
21,13217.2,1.12047,1.84255,0.51564,1.08484,0,0.98268,0.98472,0.99158,0.69807,0.92733,0.92733,0.92057,0.53047,0.81324,1.24276,0.29768,0.9405,0,0.000599217,0.000599217,0.000599217
22,13849.7,1.12261,1.84568,0.51122,1.08659,0,0.98282,0.98396,0.99154,0.69827,0.9268,0.9257,0.92019,0.53003,0.81282,1.24258,0.29689,0.94021,0,0.000566435,0.000566435,0.000566435
