epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,189.16,1.83555,2.95787,1.27008,1.41724,0,0.93593,0.89138,0.94272,0.45646,0.53533,0.52233,0.36327,0.09033,1.67012,4.43352,0.88898,1.36671,0,0.000199655,0.000199655,0.0802341
2,350.515,1.70257,2.70012,0.96311,1.32548,0,0.90355,0.89527,0.93464,0.46559,0.76754,0.7574,0.69755,0.22337,1.59725,2.82916,1.07348,1.30776,0,0.000399566,0.000399566,0.060434
3,508.203,1.66876,2.66724,0.8957,1.31487,0,0.93233,0.89432,0.9481,0.47177,0.79597,0.75072,0.72013,0.21898,1.69646,2.62646,0.77614,1.34988,0,0.000599123,0.000599123,0.0406336
4,665.198,1.64425,2.62654,0.85463,1.3036,0,0.95022,0.93673,0.96403,0.51037,0.85468,0.83015,0.79889,0.26811,1.5653,2.52658,0.68986,1.26027,0,0.000798058,0.000798058,0.0208325
5,821.391,1.62142,2.57996,0.81973,1.29452,0,0.9467,0.9263,0.96238,0.50173,0.84737,0.82342,0.7757,0.2617,1.58569,2.52509,0.70521,1.28397,0,0.000996108,0.000996108,0.00103059
6,977.539,1.618,2.56184,0.79928,1.28896,0,0.95789,0.95148,0.97375,0.51549,0.85582,0.84819,0.78693,0.2622,1.56634,2.47944,0.6402,1.26411,0,0.00099446,0.00099446,0.00099446
7,1134,1.60741,2.54276,0.78128,1.28248,0,0.96118,0.94197,0.96911,0.51374,0.85658,0.83753,0.76992,0.26048,1.56995,2.47034,0.64363,1.27589,0,0.000992029,0.000992029,0.000992029
8,1290.84,1.5941,2.52483,0.77474,1.27415,0,0.96171,0.96024,0.97816,0.52583,0.85544,0.85155,0.79399,0.2702,1.54936,2.46025,0.61588,1.26485,0,0.000989163,0.000989163,0.000989163
9,1446.77,1.58779,2.52158,0.75503,1.26831,0,0.96736,0.95308,0.97832,0.52868,0.86583,0.848,0.80505,0.27804,1.56295,2.44157,0.6051,1.25072,0,0.000985862,0.000985862,0.000985862
10,1603.66,1.58427,2.50189,0.75458,1.27002,0,0.96797,0.95525,0.97822,0.53328,0.87204,0.85421,0.8183,0.28312,1.53699,2.45538,0.58887,1.24684,0,0.000982132,0.000982132,0.000982132
11,1764.54,1.5658,2.49228,0.72724,1.26222,0,0.95894,0.96122,0.97655,0.53052,0.85617,0.85336,0.78229,0.27236,1.52748,2.41872,0.61776,1.25598,0,0.000977975,0.000977975,0.000977975
12,1924.35,1.5725,2.48674,0.73362,1.26831,0,0.96252,0.96276,0.97788,0.53177,0.86089,0.85757,0.7889,0.27448,1.53096,2.42482,0.62531,1.25969,0,0.000973396,0.000973396,0.000973396
13,2083.32,1.56427,2.46911,0.72612,1.26167,0,0.96704,0.9581,0.97671,0.53955,0.8733,0.86267,0.81145,0.28934,1.52031,2.43536,0.60446,1.24908,0,0.000968399,0.000968399,0.000968399
14,2242.09,1.55458,2.46966,0.71937,1.26225,0,0.96505,0.96414,0.97818,0.53834,0.8716,0.86336,0.82058,0.28577,1.52099,2.45,0.58349,1.2521,0,0.00096299,0.00096299,0.00096299
15,2401.11,1.55464,2.4663,0.72034,1.26,0,0.97019,0.96122,0.98031,0.5431,0.87708,0.86602,0.80781,0.27807,1.50779,2.4164,0.58177,1.25002,0,0.000957172,0.000957172,0.000957172
16,2560.86,1.54749,2.45383,0.70615,1.25935,0,0.96795,0.96567,0.97949,0.54195,0.86499,0.86087,0.79757,0.28635,1.50534,2.41164,0.58946,1.23764,0,0.000950953,0.000950953,0.000950953
17,2720.36,1.53613,2.44118,0.69964,1.24992,0,0.9698,0.96788,0.98105,0.53816,0.85939,0.85823,0.79224,0.27035,1.51653,2.44151,0.59781,1.24278,0,0.000944338,0.000944338,0.000944338
18,2877.84,1.53715,2.44115,0.70137,1.25,0,0.96784,0.96236,0.98,0.54925,0.87552,0.86222,0.82023,0.29449,1.50211,2.38838,0.58993,1.2443,0,0.000937334,0.000937334,0.000937334
19,3035.01,1.52265,2.42052,0.68935,1.244,0,0.96662,0.9717,0.98026,0.54708,0.86837,0.87098,0.81143,0.28383,1.51436,2.4231,0.55876,1.23263,0,0.000929948,0.000929948,0.000929948
20,3193.63,1.53948,2.43105,0.69415,1.25164,0,0.96608,0.96692,0.97989,0.55059,0.87511,0.87061,0.82317,0.29516,1.496,2.39172,0.56822,1.23284,0,0.000922186,0.000922186,0.000922186
21,3351.75,1.51945,2.40588,0.68214,1.24152,0,0.97043,0.96545,0.9809,0.54982,0.8751,0.86289,0.81687,0.28926,1.49439,2.3958,0.57247,1.24084,0,0.000914058,0.000914058,0.000914058
22,3511.1,1.51852,2.41489,0.6799,1.24151,0,0.96913,0.96949,0.98139,0.55518,0.88196,0.88146,0.83248,0.29377,1.4976,2.39306,0.57191,1.23855,0,0.00090557,0.00090557,0.00090557
23,3668.02,1.52527,2.41319,0.69036,1.24663,0,0.96836,0.97206,0.98238,0.551,0.86821,0.8657,0.81015,0.29297,1.49805,2.38473,0.5518,1.23979,0,0.000896731,0.000896731,0.000896731
