epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.5786,1.2447,1.81843,1.89975,1.13659,0,0.12261,0.25806,0.10385,0.0435,0.03065,0.06452,0.02359,0.01044,1.98982,61.2127,4.83185,1.86641,0,0.000196825,0.000196825,0.0805143
2,65.2146,1.03269,1.24149,0.93266,0.96971,0,0.94347,0.94219,0.96847,0.72209,0.94347,0.94219,0.96291,0.68038,0.93537,1.32998,1.01968,0.87414,0,0.000396737,0.000396737,0.0607142
3,82.702,0.96685,1.11859,0.83061,0.95734,0,0.89473,0.94355,0.96965,0.7115,0.89473,0.94355,0.96965,0.78033,0.94212,0.85347,0.75151,0.89183,0,0.000596295,0.000596295,0.0409138
4,101.163,0.95519,1.01758,0.79959,0.96108,0,0.93446,0.95161,0.97579,0.74745,0.93481,0.95968,0.97932,0.80762,0.86505,0.89562,0.76271,0.86344,0,0.000795234,0.000795234,0.0211127
5,119.16,0.92705,0.99344,0.77664,0.94599,0,0.96786,0.97128,0.99152,0.74428,0.96786,0.97128,0.99235,0.76773,0.88678,0.91903,0.68532,0.88086,0,0.000993288,0.000993288,0.00131075
6,137.21,0.89976,0.98112,0.73856,0.94734,0,0.97592,0.93548,0.9841,0.77097,0.97592,0.93548,0.9841,0.82078,0.79536,0.7526,0.61824,0.86433,0,0.00099446,0.00099446,0.00099446
7,155.385,0.8862,0.93665,0.70394,0.94217,0,0.88359,0.95161,0.96298,0.74196,0.88359,0.95161,0.96298,0.78368,0.80239,0.79958,0.65874,0.85105,0,0.000992029,0.000992029,0.000992029
8,173.752,0.89522,0.93766,0.70737,0.94763,0,0.96797,0.99194,0.9926,0.78661,0.96797,0.99194,0.9926,0.82303,0.77566,0.70977,0.59862,0.86498,0,0.000989163,0.000989163,0.000989163
9,192.032,0.83572,0.8719,0.658,0.92708,0,0.94697,0.95161,0.98822,0.79409,0.94697,0.95161,0.98822,0.83471,0.73919,0.78449,0.55613,0.83818,0,0.000985862,0.000985862,0.000985862
10,210.318,0.83725,0.91278,0.64895,0.92625,0,0.97397,0.95968,0.99272,0.80982,0.97397,0.95968,0.99272,0.83041,0.7145,0.68986,0.55452,0.83174,0,0.000982132,0.000982132,0.000982132
11,228.257,0.82411,0.9148,0.64874,0.92184,0,1,0.98961,0.995,0.81205,1,0.98961,0.995,0.81302,0.72318,0.71455,0.51912,0.83961,0,0.000977975,0.000977975,0.000977975
12,246.56,0.79812,0.92257,0.62515,0.92489,0,0.97534,0.95696,0.99166,0.80686,0.97534,0.95696,0.99166,0.84656,0.66847,0.62822,0.55481,0.82561,0,0.000973396,0.000973396,0.000973396
13,264.897,0.77628,0.84575,0.60521,0.90456,0,0.97536,0.95789,0.98825,0.8161,0.97536,0.95789,0.98355,0.82425,0.69472,0.64871,0.55059,0.83596,0,0.000968399,0.000968399,0.000968399
14,283.548,0.77934,0.82469,0.59846,0.91898,0,0.99758,0.98387,0.99372,0.83205,0.99758,0.98387,0.99372,0.80963,0.70153,0.69599,0.48776,0.83147,0,0.00096299,0.00096299,0.00096299
15,301.597,0.7901,0.90263,0.59743,0.91017,0,0.96793,0.97375,0.99033,0.80725,0.97595,0.98172,0.9942,0.79642,0.7188,0.699,0.50048,0.83857,0,0.000957172,0.000957172,0.000957172
