epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,818.066,0.82041,1.2938,0.44795,0.97817,0,0.99951,0.99908,0.995,0.83206,0.99951,0.99908,0.995,0.76448,0.68485,0.98927,0.28228,0.88713,0,0.000199891,0.000199891,0.0802108
2,1343.99,0.80452,1.2504,0.42345,0.97179,0,0.99702,0.99755,0.99494,0.83253,0.99694,0.9972,0.99494,0.76234,0.68268,0.99676,0.29875,0.88615,0,0.000398472,0.000398472,0.0604093
3,1863.77,0.80556,1.25468,0.41831,0.97101,0,0.99969,0.99988,0.995,0.83695,0.99969,0.99988,0.995,0.77644,0.661,0.9505,0.27475,0.87472,0,0.00059141,0.00059141,0.0406023
4,2380.93,0.802,1.24561,0.41359,0.97045,0,0.99895,1,0.995,0.83775,0.99895,1,0.995,0.77234,0.66774,0.94804,0.27708,0.88139,0,0.000774614,0.000774614,0.0207855
5,2895.6,0.79761,1.24043,0.40688,0.96902,0,0.99934,1,0.995,0.8392,0.99934,1,0.995,0.77138,0.65611,0.94771,0.27543,0.87569,0,0.000944235,0.000944235,0.000955105
6,3413.9,0.79466,1.23252,0.40341,0.96927,0,0.99955,0.99969,0.995,0.84268,0.99955,0.99969,0.995,0.77595,0.65228,0.94418,0.25843,0.87317,0,0.000914058,0.000914058,0.000914058
7,3928.32,0.78871,1.22528,0.39965,0.96599,0,0.99985,1,0.995,0.84349,0.99985,1,0.995,0.77727,0.65052,0.94446,0.25758,0.87139,0,0.000878036,0.000878036,0.000878036
8,4437.91,0.78837,1.23006,0.39815,0.96529,0,0.99966,1,0.995,0.84168,0.99966,1,0.995,0.77583,0.65219,0.9494,0.25221,0.87062,0,0.000836841,0.000836841,0.000836841
9,4953.49,0.78712,1.2205,0.39515,0.96493,0,0.99963,1,0.995,0.84405,0.99963,1,0.995,0.77432,0.64834,0.9473,0.24973,0.86984,0,0.000791122,0.000791122,0.000791122
10,5473.15,0.78519,1.21757,0.39273,0.96441,0,0.99959,1,0.995,0.84498,0.99959,1,0.995,0.77588,0.64505,0.94342,0.24674,0.8686,0,0.000741601,0.000741601,0.000741601
11,5961.54,0.67348,0.95016,0.28682,0.88731,0,0.99966,1,0.995,0.84619,0.99966,1,0.995,0.77959,0.64199,0.9334,0.25394,0.86706,0,0.000689058,0.000689058,0.000689058
12,6449.35,0.66283,0.94403,0.27565,0.8825,0,0.99965,1,0.995,0.84724,0.99965,1,0.995,0.77799,0.6398,0.93659,0.2452,0.86591,0,0.000634322,0.000634322,0.000634322
13,6936.75,0.65894,0.9429,0.26977,0.88177,0,0.99965,1,0.995,0.84805,0.99965,1,0.995,0.77975,0.63645,0.93278,0.24286,0.86473,0,0.000578256,0.000578256,0.000578256
14,7417.03,0.65501,0.93743,0.26501,0.88071,0,0.99967,1,0.995,0.84969,0.99967,1,0.995,0.78165,0.63193,0.92931,0.23733,0.86491,0,0.000521744,0.000521744,0.000521744
15,7880.73,0.65247,0.93588,0.25925,0.87819,0,0.99999,1,0.995,0.85106,0.99999,1,0.995,0.78168,0.63122,0.92939,0.23274,0.86338,0,0.000465678,0.000465678,0.000465678
16,8341.53,0.64747,0.93158,0.25402,0.87571,0,0.99997,1,0.995,0.85023,0.99997,1,0.995,0.78141,0.63037,0.92879,0.23129,0.86206,0,0.000410942,0.000410942,0.000410942
17,8802.24,0.64534,0.92916,0.25129,0.87546,0,0.99994,1,0.995,0.85024,0.99994,1,0.995,0.77971,0.63105,0.9267,0.22896,0.86243,0,0.000358399,0.000358399,0.000358399
18,9282.78,0.64219,0.92601,0.24625,0.87389,0,0.99981,1,0.995,0.85025,0.99981,1,0.995,0.78084,0.63045,0.92632,0.22641,0.86263,0,0.000308878,0.000308878,0.000308878
19,9769.37,0.63938,0.92352,0.24335,0.87466,0,0.99984,1,0.995,0.85044,0.99984,1,0.995,0.78164,0.63003,0.92746,0.22485,0.86253,0,0.000263159,0.000263159,0.000263159
20,10243.1,0.63641,0.91915,0.23933,0.87234,0,0.99994,1,0.995,0.85108,0.99994,1,0.995,0.7821,0.62862,0.9254,0.22384,0.86198,0,0.000221964,0.000221964,0.000221964
21,10713.8,0.63331,0.91719,0.2367,0.87241,0,0.99995,1,0.995,0.85145,0.99995,1,0.995,0.78183,0.62839,0.92528,0.22174,0.86169,0,0.000185942,0.000185942,0.000185942
22,11185.1,0.63179,0.91717,0.23328,0.87115,0,0.99997,1,0.995,0.85149,0.99997,1,0.995,0.78302,0.62826,0.92386,0.22049,0.86149,0,0.000155662,0.000155662,0.000155662
23,11664.4,0.62897,0.91471,0.23139,0.87009,0,0.99995,1,0.995,0.85085,0.99995,1,0.995,0.78232,0.62864,0.9243,0.2202,0.86126,0,0.000131601,0.000131601,0.000131601
24,12145.9,0.62856,0.91247,0.22971,0.86944,0,0.99995,1,0.995,0.85144,0.99995,1,0.995,0.78218,0.62858,0.92449,0.21963,0.86121,0,0.000114138,0.000114138,0.000114138
25,12628,0.6278,0.91303,0.22882,0.86886,0,0.99995,1,0.995,0.85168,0.99995,1,0.995,0.7828,0.62808,0.92434,0.21883,0.8611,0,0.000103548,0.000103548,0.000103548
