epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,880.825,1.22776,1.98355,0.61353,1.19198,0,0.966,0.97426,0.97807,0.65553,0.91003,0.91205,0.89936,0.49152,0.87973,1.32199,0.44008,1.01289,0,0.000199919,0.000199919,0.080208
2,1722.92,1.2054,1.95072,0.58687,1.18101,0,0.97936,0.9775,0.98874,0.66576,0.91918,0.91526,0.90738,0.50267,0.87249,1.30845,0.41971,1.00952,0,0.000396855,0.000396855,0.0604049
3,2528.9,1.14935,1.89047,0.47138,1.15883,0,0.98045,0.97872,0.98991,0.67609,0.92639,0.91907,0.91741,0.5155,0.85455,1.28382,0.36362,1.00177,0,0.000581689,0.000581689,0.0405897
4,3330.77,1.14003,1.87868,0.4569,1.15378,0,0.98071,0.97808,0.99123,0.67945,0.92248,0.9172,0.91525,0.51545,0.85026,1.27993,0.34856,1.00146,0,0.000746003,0.000746003,0.0207541
5,4130.67,1.13058,1.85981,0.44557,1.15153,0,0.98111,0.98098,0.99049,0.68098,0.92342,0.92122,0.91704,0.5208,0.84599,1.27348,0.34184,0.99819,0,0.000882483,0.000882483,0.000890541
6,4931.44,1.12333,1.85256,0.43813,1.14454,0,0.97988,0.98246,0.99092,0.68286,0.92582,0.92388,0.91855,0.52425,0.83676,1.26228,0.33139,0.99247,0,0.000821186,0.000821186,0.000821186
7,5731.18,1.11464,1.8448,0.43342,1.1442,0,0.97959,0.9811,0.99095,0.6833,0.92523,0.92015,0.91798,0.52081,0.83459,1.25974,0.32526,0.99575,0,0.000750582,0.000750582,0.000750582
8,6530.67,1.10979,1.832,0.42664,1.14121,0,0.98074,0.9828,0.99098,0.68496,0.92455,0.92383,0.91955,0.52437,0.83275,1.25767,0.32434,0.99201,0,0.000673148,0.000673148,0.000673148
9,7331.74,1.09822,1.82658,0.42003,1.13459,0,0.97921,0.98098,0.99065,0.68543,0.92641,0.92032,0.91923,0.52489,0.83136,1.25845,0.31802,0.99289,0,0.000591521,0.000591521,0.000591521
10,8133.38,1.09319,1.82011,0.4157,1.12885,0,0.9815,0.98019,0.99095,0.68594,0.92745,0.9203,0.9187,0.52246,0.83099,1.25776,0.3132,0.99238,0,0.000508479,0.000508479,0.000508479
11,8936.95,1.0838,1.81024,0.40745,1.12657,0,0.9801,0.98121,0.9902,0.68581,0.9271,0.92156,0.91905,0.52471,0.82876,1.256,0.31243,0.99135,0,0.000426852,0.000426852,0.000426852
12,9739.56,1.07597,1.80152,0.40278,1.12176,0,0.98053,0.98065,0.99084,0.6844,0.92482,0.92035,0.91802,0.52283,0.82946,1.2572,0.31187,0.9919,0,0.000349418,0.000349418,0.000349418
13,10542.3,1.06905,1.80051,0.39717,1.11765,0,0.98142,0.98189,0.991,0.68509,0.92355,0.92027,0.91754,0.52348,0.82882,1.25487,0.30852,0.99137,0,0.000278814,0.000278814,0.000278814
14,11345.5,1.06098,1.78383,0.3916,1.11249,0,0.97954,0.98155,0.9906,0.6836,0.92604,0.92112,0.91791,0.52289,0.82959,1.25616,0.30624,0.99269,0,0.000217446,0.000217446,0.000217446
15,12149.3,1.05395,1.77707,0.38762,1.10688,0,0.97877,0.98076,0.99037,0.68333,0.92262,0.91862,0.9099,0.52073,0.82987,1.25736,0.30532,0.992,0,0.000167402,0.000167402,0.000167402
16,12952.5,1.04893,1.775,0.3848,1.10217,0,0.98151,0.97924,0.99077,0.68275,0.92352,0.9184,0.9102,0.5198,0.82955,1.25772,0.30445,0.99096,0,0.000130387,0.000130387,0.000130387
17,13755.2,1.0449,1.76976,0.38282,1.10193,0,0.98039,0.97997,0.99086,0.68237,0.92277,0.91694,0.90989,0.51962,0.82941,1.25782,0.3037,0.99135,0,0.000107662,0.000107662,0.000107662
