epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,227.709,2.7182,3.75288,2.36971,2.10832,0,0.76151,0.5692,0.65578,0.28331,0.61594,0.46039,0.44802,0.13153,2.07746,3.16147,1.48261,1.64387,0,0.000199655,0.000199655,0.0802341
2,431.879,1.99506,3.17676,1.37733,1.58933,0,0.87193,0.74453,0.84306,0.39992,0.71059,0.61312,0.59646,0.16333,1.78496,3.01036,1.06913,1.4984,0,0.000399566,0.000399566,0.060434
3,635.244,1.86298,3.00986,1.16762,1.50858,0,0.92029,0.79143,0.88597,0.41351,0.77982,0.66477,0.65087,0.19069,1.80498,2.81512,0.99024,1.47551,0,0.000599123,0.000599123,0.0406336
4,836.069,1.81428,2.89858,1.06709,1.48102,0,0.91752,0.8401,0.91751,0.45131,0.80329,0.72156,0.71817,0.21742,1.71798,2.79673,0.84467,1.42033,0,0.000798058,0.000798058,0.0208325
5,1036.54,1.76268,2.80117,0.98306,1.44968,0,0.94498,0.8912,0.94448,0.47084,0.82911,0.77284,0.74845,0.24315,1.65986,2.61097,0.75045,1.41378,0,0.000996108,0.000996108,0.00103059
6,1237.28,1.74308,2.75149,0.93503,1.43889,0,0.92137,0.88516,0.92282,0.43981,0.82535,0.7834,0.74421,0.22768,1.71571,2.6239,0.77657,1.44515,0,0.00099446,0.00099446,0.00099446
7,1437.85,1.71966,2.7134,0.90517,1.42734,0,0.9383,0.90921,0.95101,0.47818,0.83681,0.78977,0.76989,0.23945,1.63453,2.5775,0.73731,1.40041,0,0.000992029,0.000992029,0.000992029
8,1638.71,1.69291,2.68312,0.87128,1.4142,0,0.95564,0.92446,0.96126,0.49585,0.83734,0.80665,0.75459,0.24633,1.60514,2.57209,0.67821,1.38118,0,0.000989163,0.000989163,0.000989163
9,1839.03,1.69006,2.67358,0.85866,1.40753,0,0.94601,0.92755,0.95823,0.48611,0.84338,0.82441,0.78876,0.24959,1.61946,2.53769,0.67998,1.391,0,0.000985862,0.000985862,0.000985862
10,2039.73,1.68086,2.64466,0.84769,1.40664,0,0.95442,0.93128,0.96501,0.50417,0.85475,0.82283,0.79131,0.26332,1.57303,2.52541,0.66313,1.37047,0,0.000982132,0.000982132,0.000982132
11,2241.27,1.64933,2.62457,0.8159,1.38886,0,0.95599,0.93812,0.96757,0.5076,0.84846,0.82908,0.78112,0.26578,1.56217,2.50565,0.67627,1.36942,0,0.000977975,0.000977975,0.000977975
12,2442.18,1.66563,2.61485,0.81968,1.39983,0,0.94938,0.93512,0.96529,0.5043,0.84283,0.82689,0.76419,0.2516,1.56561,2.4881,0.68618,1.36553,0,0.000973396,0.000973396,0.000973396
13,2641.86,1.64626,2.59325,0.80798,1.39249,0,0.96745,0.93961,0.96891,0.5128,0.87456,0.84318,0.81633,0.27505,1.57024,2.47282,0.63032,1.36887,0,0.000968399,0.000968399,0.000968399
14,2842.38,1.63021,2.5871,0.79148,1.38461,0,0.95959,0.94211,0.97107,0.51125,0.85755,0.83202,0.79976,0.27495,1.56706,2.47372,0.62406,1.3592,0,0.00096299,0.00096299,0.00096299
15,3042.53,1.63856,2.58498,0.79821,1.39233,0,0.96215,0.94384,0.96768,0.51531,0.86905,0.84231,0.80633,0.27021,1.54242,2.49384,0.62413,1.35204,0,0.000957172,0.000957172,0.000957172
16,3243.14,1.62632,2.56659,0.77928,1.38714,0,0.964,0.94495,0.96758,0.51281,0.87246,0.85389,0.81422,0.27497,1.55716,2.44729,0.61473,1.36122,0,0.000950953,0.000950953,0.000950953
17,3443.52,1.61544,2.55318,0.76604,1.37621,0,0.96277,0.95044,0.97084,0.51588,0.86327,0.84827,0.80385,0.27091,1.55075,2.47868,0.64385,1.34965,0,0.000944338,0.000944338,0.000944338
18,3644.04,1.6136,2.55607,0.76299,1.376,0,0.95651,0.94211,0.96801,0.52104,0.86067,0.84125,0.79931,0.26459,1.54916,2.45054,0.6272,1.35944,0,0.000937334,0.000937334,0.000937334
19,3845.08,1.60312,2.52894,0.75093,1.373,0,0.96256,0.94968,0.97123,0.52987,0.86762,0.85003,0.81553,0.28175,1.52437,2.43187,0.59596,1.34347,0,0.000929948,0.000929948,0.000929948
20,4045.36,1.61565,2.53674,0.74761,1.38039,0,0.96459,0.9512,0.97031,0.52626,0.87533,0.8605,0.81457,0.28267,1.52275,2.43225,0.59801,1.34848,0,0.000922186,0.000922186,0.000922186
21,4245.6,1.5948,2.50997,0.73955,1.37041,0,0.95927,0.95754,0.97223,0.51794,0.85728,0.84727,0.7913,0.26861,1.53371,2.43742,0.60585,1.35931,0,0.000914058,0.000914058,0.000914058
22,4445.71,1.59415,2.51734,0.73774,1.36819,0,0.96215,0.95308,0.97127,0.52358,0.86763,0.85554,0.81537,0.28136,1.53022,2.42384,0.60266,1.34016,0,0.00090557,0.00090557,0.00090557
23,4645.36,1.60183,2.51169,0.74187,1.37127,0,0.96443,0.96171,0.97848,0.52976,0.86037,0.84966,0.79463,0.27711,1.5239,2.43158,0.57424,1.34042,0,0.000896731,0.000896731,0.000896731
24,4846.11,1.58295,2.50398,0.73533,1.36671,0,0.96572,0.95776,0.97644,0.52897,0.86621,0.85591,0.80544,0.28068,1.52749,2.42028,0.5791,1.35017,0,0.00088755,0.00088755,0.00088755
25,5046.92,1.58452,2.49486,0.72505,1.36656,0,0.96752,0.95846,0.97489,0.53252,0.87348,0.8603,0.80955,0.28604,1.51071,2.40359,0.58565,1.34165,0,0.000878036,0.000878036,0.000878036
26,5247.52,1.5797,2.4852,0.71876,1.35733,0,0.9705,0.96136,0.97968,0.534,0.87154,0.85903,0.81249,0.28019,1.52126,2.39569,0.57668,1.33811,0,0.000868198,0.000868198,0.000868198
27,5447.45,1.57984,2.48423,0.72193,1.35925,0,0.969,0.96049,0.97335,0.53349,0.87901,0.86528,0.82562,0.28418,1.51152,2.40532,0.57257,1.33877,0,0.000858046,0.000858046,0.000858046
28,5648.45,1.56478,2.4777,0.70544,1.35055,0,0.96234,0.9614,0.97199,0.53328,0.87622,0.86547,0.82065,0.29011,1.51691,2.39941,0.56709,1.33686,0,0.00084759,0.00084759,0.00084759
29,5847.92,1.56931,2.4899,0.70465,1.35658,0,0.96784,0.96122,0.97465,0.53631,0.88067,0.87153,0.8234,0.28884,1.51356,2.38889,0.56229,1.33832,0,0.000836841,0.000836841,0.000836841
30,6049.23,1.57413,2.46219,0.7061,1.35757,0,0.96705,0.96398,0.97762,0.53808,0.87383,0.86688,0.81742,0.28427,1.5155,2.39766,0.56203,1.33792,0,0.000825808,0.000825808,0.000825808
31,6250.63,1.55748,2.48452,0.70155,1.35401,0,0.96823,0.96398,0.9788,0.5398,0.87701,0.86142,0.81879,0.28527,1.50683,2.39064,0.56223,1.33639,0,0.000814503,0.000814503,0.000814503
32,6451.97,1.55885,2.47137,0.69977,1.34757,0,0.96603,0.96655,0.98188,0.53879,0.87121,0.86326,0.80972,0.28643,1.5057,2.38678,0.55742,1.33541,0,0.000802938,0.000802938,0.000802938
33,6653.86,1.55822,2.46827,0.69705,1.35347,0,0.96686,0.96637,0.97913,0.53974,0.87845,0.86749,0.81741,0.28965,1.50637,2.38572,0.55468,1.33995,0,0.000791122,0.000791122,0.000791122
34,6854.86,1.55815,2.44806,0.6927,1.35147,0,0.96764,0.96187,0.9752,0.5375,0.87922,0.87061,0.826,0.29081,1.50388,2.37865,0.559,1.3353,0,0.000779069,0.000779069,0.000779069
35,7055.37,1.55527,2.44558,0.68813,1.35382,0,0.96865,0.96306,0.97532,0.53978,0.87695,0.86976,0.81757,0.29146,1.50604,2.37465,0.54729,1.34081,0,0.000766789,0.000766789,0.000766789
36,7256.47,1.54741,2.44278,0.6847,1.3453,0,0.96921,0.96287,0.9769,0.54214,0.88009,0.86859,0.82181,0.29439,1.50343,2.38256,0.54667,1.33506,0,0.000754296,0.000754296,0.000754296
37,7458.17,1.55375,2.44054,0.68203,1.35007,0,0.96902,0.96593,0.97589,0.54007,0.87666,0.86877,0.81463,0.28746,1.50327,2.372,0.54271,1.34039,0,0.000741601,0.000741601,0.000741601
38,7660.4,1.54666,2.44566,0.68191,1.34618,0,0.97078,0.96526,0.98047,0.54444,0.88096,0.8708,0.82047,0.29112,1.50294,2.37661,0.5411,1.33966,0,0.000728717,0.000728717,0.000728717
39,7863.07,1.53424,2.4275,0.67769,1.33786,0,0.9712,0.96857,0.97931,0.54178,0.87476,0.86654,0.8094,0.2873,1.50375,2.38412,0.54418,1.34064,0,0.000715656,0.000715656,0.000715656
40,8064.88,1.5366,2.4271,0.6742,1.34407,0,0.97055,0.96692,0.97918,0.54224,0.88253,0.87484,0.82637,0.28972,1.50313,2.37006,0.53859,1.33354,0,0.000702432,0.000702432,0.000702432
41,8266.21,1.52831,2.41965,0.66489,1.34126,0,0.96919,0.96551,0.97716,0.54469,0.88186,0.87227,0.82717,0.29422,1.49887,2.37059,0.53525,1.33724,0,0.000689058,0.000689058,0.000689058
42,8467.92,1.53287,2.41155,0.66906,1.34125,0,0.96956,0.96747,0.98012,0.54442,0.87378,0.8703,0.81366,0.28901,1.49662,2.36932,0.53971,1.33365,0,0.000675546,0.000675546,0.000675546
43,8669.33,1.53561,2.42008,0.66663,1.33674,0,0.97153,0.96361,0.98216,0.54632,0.88102,0.87103,0.8202,0.29133,1.49183,2.37242,0.53604,1.3253,0,0.00066191,0.00066191,0.00066191
44,8870.11,1.52182,2.42257,0.66046,1.33266,0,0.97084,0.96687,0.98157,0.54683,0.88044,0.86896,0.81579,0.29265,1.49247,2.36583,0.53096,1.33188,0,0.000648164,0.000648164,0.000648164
