epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,45.354,3.75275,8.8691,4.29218,3.64592,0,0.00081,0.24194,0.00025,5e-05,3e-05,0.00806,0,0,2.88914,4.68285,4.30463,2.92659,0,0.000196825,0.000196825,0.0805143
2,66.2121,3.09957,4.31246,3.53403,2.94271,0,0.01908,0.04032,0.00607,0.0038,0.00382,0.00806,7e-05,1e-05,2.65418,4.45922,4.5123,2.72209,0,0.000396737,0.000396737,0.0607142
3,87.6523,2.82936,3.53268,2.99409,2.75666,0,0.20949,0.23387,0.13796,0.04154,0.23559,0.24194,0.16743,0.06309,2.52565,3.00989,4.20115,2.83517,0,0.000596295,0.000596295,0.0409138
4,109.049,2.5629,2.76315,2.40813,2.54672,0,0.66194,0.07258,0.11184,0.04385,0.66838,0.07258,0.1027,0.03067,2.39661,5.64529,3.55442,2.65477,0,0.000795234,0.000795234,0.0211127
5,131.92,2.29409,2.43319,1.97742,2.34725,0,0.5046,0.37097,0.39575,0.16776,0.56102,0.40196,0.44027,0.18629,2.10818,2.69662,2.43926,2.32199,0,0.000993288,0.000993288,0.00131075
6,154.198,2.10473,2.22263,1.73232,2.2204,0,0.81421,0.64516,0.75612,0.35686,0.81588,0.65323,0.75921,0.42739,1.89454,2.20348,1.57888,2.11123,0,0.00099446,0.00099446,0.00099446
7,175.739,2.00645,2.11205,1.58757,2.11536,0,0.7649,0.6822,0.76506,0.38289,0.7503,0.65323,0.74654,0.42437,1.80803,2.1006,1.44386,2.07801,0,0.000992029,0.000992029,0.000992029
8,197.497,1.9024,2.01012,1.45764,2.00475,0,0.84004,0.80468,0.85503,0.45697,0.84846,0.81274,0.87213,0.50829,1.66721,1.89761,1.21717,1.91896,0,0.000989163,0.000989163,0.000989163
9,219.245,1.7831,1.86613,1.34636,1.94181,0,0.80286,0.71774,0.811,0.45844,0.82087,0.70968,0.78824,0.49854,1.59438,1.7413,1.15531,1.88272,0,0.000985862,0.000985862,0.000985862
10,241.18,1.67775,1.81128,1.27854,1.82763,0,0.91676,0.79939,0.89774,0.45816,0.91676,0.79939,0.88961,0.56051,1.47031,1.55329,1.19435,1.7068,0,0.000982132,0.000982132,0.000982132
11,262.839,1.63655,1.80572,1.23546,1.79763,0,0.92133,0.85484,0.9241,0.54627,0.92869,0.83871,0.90735,0.62216,1.39518,1.46085,0.92458,1.67495,0,0.000977975,0.000977975,0.000977975
12,285.161,1.56807,1.68984,1.15443,1.73743,0,0.93905,0.87097,0.93125,0.55448,0.93905,0.87097,0.92084,0.61241,1.33766,1.37192,0.88325,1.59604,0,0.000973396,0.000973396,0.000973396
13,306.892,1.46735,1.59525,1.06859,1.65034,0,0.94587,0.85484,0.94069,0.55889,0.94959,0.85484,0.93015,0.62798,1.3439,1.31492,0.88427,1.56365,0,0.000968399,0.000968399,0.000968399
