epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,651.657,0.8647,1.33969,0.48432,1.04512,0,0.99573,0.99744,0.99465,0.82239,0.99573,0.99766,0.99465,0.7493,0.69521,1.07899,0.35145,0.92559,0,0.000199891,0.000199891,0.0802108
2,1266.08,0.84485,1.31666,0.46057,1.03843,0,0.99847,0.99907,0.99467,0.82751,0.99817,0.99876,0.9946,0.75221,0.68969,1.02976,0.29849,0.92324,0,0.000399308,0.000399308,0.0604102
3,1878.01,0.84582,1.30294,0.45819,1.03582,0,0.99861,0.99969,0.995,0.83167,0.99861,0.99969,0.995,0.76677,0.67241,0.98022,0.28732,0.91072,0,0.000596396,0.000596396,0.0406073
4,2486.78,0.84249,1.29636,0.4549,1.03677,0,0.99725,0.99925,0.994,0.82881,0.99725,0.99925,0.994,0.76306,0.6746,0.97697,0.31076,0.91465,0,0.000789432,0.000789432,0.0208003
5,3092.77,0.84114,1.29729,0.45079,1.03869,0,0.99778,1,0.9944,0.83408,0.99778,1,0.9944,0.76602,0.66208,0.96783,0.28529,0.9101,0,0.000976735,0.000976735,0.000987605
6,3698.72,0.84327,1.30053,0.44997,1.03773,0,0.99711,1,0.99467,0.83142,0.99711,1,0.99467,0.76284,0.66544,0.97484,0.27981,0.91379,0,0.000963991,0.000963991,0.000963991
7,4306.05,0.84024,1.28998,0.44602,1.03523,0,0.99739,0.99969,0.99439,0.83415,0.99739,0.99969,0.99439,0.76531,0.66136,0.96323,0.28117,0.9092,0,0.000948455,0.000948455,0.000948455
8,4913.15,0.83654,1.29071,0.44594,1.03395,0,0.99772,1,0.99428,0.83431,0.99772,1,0.99428,0.76791,0.66284,0.96106,0.27483,0.90971,0,0.000930336,0.000930336,0.000930336
9,5521.22,0.83221,1.28995,0.44222,1.03289,0,0.99825,0.99969,0.99462,0.83313,0.99825,0.99969,0.99462,0.76482,0.65941,0.95754,0.27118,0.90819,0,0.000909749,0.000909749,0.000909749
10,6129.05,0.83462,1.28037,0.44244,1.03523,0,0.99808,1,0.99423,0.8381,0.99808,1,0.99423,0.77035,0.6513,0.948,0.27103,0.9063,0,0.00088683,0.00088683,0.00088683
11,6737.73,0.82671,1.27587,0.43481,1.03173,0,0.99805,1,0.99484,0.83867,0.99805,1,0.99484,0.7684,0.65371,0.95529,0.26792,0.90647,0,0.000861726,0.000861726,0.000861726
12,7347.1,0.82374,1.27136,0.43305,1.03092,0,0.99893,1,0.99484,0.84093,0.99893,1,0.99484,0.77,0.64808,0.95323,0.25887,0.9051,0,0.0008346,0.0008346,0.0008346
13,7954.76,0.82138,1.27103,0.4295,1.02997,0,0.99838,1,0.99473,0.84021,0.99838,1,0.99473,0.76939,0.64999,0.9549,0.25774,0.90453,0,0.000805629,0.000805629,0.000805629
14,8561.56,0.81908,1.27089,0.42683,1.0283,0,0.99896,0.99969,0.995,0.84301,0.99896,0.99969,0.995,0.77324,0.64281,0.94845,0.25609,0.90343,0,0.000775,0.000775,0.000775
15,9169.05,0.81112,1.2521,0.42005,1.02434,0,0.99889,1,0.99486,0.84209,0.99889,1,0.99486,0.77317,0.64616,0.9495,0.25342,0.90571,0,0.000742912,0.000742912,0.000742912
16,9778.12,0.81268,1.25923,0.42207,1.02419,0,0.99804,1,0.99451,0.84235,0.99804,1,0.99451,0.77256,0.64107,0.94419,0.25154,0.89942,0,0.000709572,0.000709572,0.000709572
17,10384.7,0.80885,1.25431,0.41538,1.02219,0,0.99895,1,0.99499,0.84291,0.99895,1,0.99499,0.77482,0.64075,0.94254,0.24775,0.9006,0,0.000675198,0.000675198,0.000675198
18,10992.8,0.80368,1.24625,0.40959,1.02053,0,0.99914,1,0.99475,0.84304,0.99914,1,0.99475,0.77383,0.64193,0.94667,0.24741,0.90033,0,0.000640012,0.000640012,0.000640012
19,11600.4,0.8058,1.25187,0.41118,1.0229,0,0.99924,1,0.995,0.84352,0.99924,1,0.995,0.77339,0.63995,0.9444,0.24426,0.89898,0,0.000604242,0.000604242,0.000604242
20,12211.2,0.8041,1.24793,0.40569,1.01894,0,0.99894,1,0.9947,0.84257,0.99894,1,0.9947,0.77333,0.64197,0.944,0.24389,0.89962,0,0.00056812,0.00056812,0.00056812
21,12821,0.79318,1.23566,0.39959,1.01413,0,0.99898,1,0.99498,0.84426,0.99898,1,0.99498,0.77365,0.64184,0.94501,0.24267,0.89813,0,0.00053188,0.00053188,0.00053188
22,13430.5,0.79394,1.23487,0.4002,1.01471,0,0.999,1,0.995,0.84603,0.999,1,0.995,0.77367,0.64016,0.94409,0.24204,0.89753,0,0.000495758,0.000495758,0.000495758
23,14037.9,0.79541,1.23773,0.39934,1.01488,0,0.99878,1,0.995,0.8443,0.99878,1,0.995,0.77364,0.64006,0.94521,0.24174,0.89734,0,0.000459988,0.000459988,0.000459988
24,14646.4,0.7876,1.22266,0.39235,1.01036,0,0.99867,1,0.995,0.84408,0.99867,1,0.995,0.77436,0.63981,0.94428,0.24046,0.89676,0,0.000424802,0.000424802,0.000424802
25,15249.3,0.66725,0.94773,0.27297,0.91556,0,0.9987,1,0.99499,0.84475,0.9987,1,0.99499,0.77626,0.63662,0.93943,0.23776,0.89559,0,0.000390428,0.000390428,0.000390428
26,15849,0.66127,0.94564,0.26819,0.91299,0,0.99902,1,0.99489,0.84495,0.99902,1,0.99489,0.77723,0.63478,0.93746,0.23589,0.8944,0,0.000357088,0.000357088,0.000357088
27,16449.7,0.65782,0.94349,0.26348,0.91196,0,0.99918,1,0.9948,0.8454,0.99918,1,0.9948,0.77691,0.63388,0.93645,0.23467,0.89394,0,0.000325,0.000325,0.000325
28,17051.9,0.65393,0.93751,0.25985,0.91112,0,0.99927,1,0.99481,0.84547,0.99927,1,0.99481,0.77758,0.63316,0.93515,0.23425,0.89363,0,0.000294371,0.000294371,0.000294371
29,17652.8,0.65333,0.93576,0.25729,0.90965,0,0.99933,1,0.99486,0.84677,0.99933,1,0.99486,0.7785,0.63223,0.9336,0.23298,0.89318,0,0.0002654,0.0002654,0.0002654
30,18252.3,0.651,0.93545,0.25302,0.90814,0,0.99933,1,0.99488,0.84734,0.99933,1,0.99488,0.77833,0.63183,0.93286,0.23205,0.89299,0,0.000238274,0.000238274,0.000238274
31,18852.4,0.64814,0.93344,0.25041,0.90607,0,0.99931,1,0.99491,0.84739,0.99931,1,0.99491,0.77858,0.63142,0.93221,0.23073,0.89273,0,0.00021317,0.00021317,0.00021317
32,19452,0.64546,0.93097,0.24792,0.90681,0,0.99935,1,0.99495,0.84754,0.99935,1,0.99495,0.77848,0.63092,0.93179,0.23007,0.89242,0,0.000190251,0.000190251,0.000190251
33,20052.4,0.64435,0.93013,0.24514,0.90695,0,0.99938,1,0.99497,0.84744,0.99938,1,0.99497,0.7789,0.63058,0.93147,0.22942,0.89224,0,0.000169664,0.000169664,0.000169664
34,20652.8,0.64231,0.92841,0.24222,0.90568,0,0.99938,1,0.99498,0.84742,0.99938,1,0.99498,0.77872,0.63035,0.93108,0.2287,0.89206,0,0.000151545,0.000151545,0.000151545
35,21252.3,0.64198,0.92693,0.24185,0.90445,0,0.99938,1,0.99499,0.84749,0.99938,1,0.99499,0.77876,0.63017,0.93076,0.22819,0.892,0,0.000136009,0.000136009,0.000136009
36,21852.4,0.64111,0.92718,0.24064,0.90074,0,0.9993,1,0.995,0.84768,0.9993,1,0.995,0.77899,0.62988,0.93054,0.22784,0.8917,0,0.000123159,0.000123159,0.000123159
37,22453,0.63978,0.92635,0.23951,0.90162,0,0.9993,1,0.995,0.84752,0.9993,1,0.995,0.77931,0.62979,0.93025,0.22749,0.89145,0,0.000113076,0.000113076,0.000113076
38,23053.8,0.63845,0.92568,0.23815,0.90027,0,0.99931,1,0.995,0.84802,0.99931,1,0.995,0.77943,0.62964,0.93009,0.22711,0.89115,0,0.000105827,0.000105827,0.000105827
39,23654.8,0.63732,0.92404,0.2373,0.89948,0,0.99962,1,0.995,0.84838,0.99962,1,0.995,0.77981,0.6294,0.92977,0.22702,0.89099,0,0.000101459,0.000101459,0.000101459
