epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,825.581,1.41887,1.98266,0.66279,0.00856,0.49478,0.96041,0.94941,0.98498,0.63935,0.89744,0.87934,0.8881,0.48999,0.98719,1.32779,0.31421,0.00927,0,0.000199919,0.000199919,0.080208
2,1609.19,1.36424,1.94113,0.6296,0.00819,0.47199,0.96739,0.95709,0.98791,0.66595,0.90603,0.89576,0.90498,0.51028,0.89064,1.28374,0.29291,0.00811,0,0.000399578,0.000399578,0.0604076
3,2390.44,1.34893,1.94533,0.62909,0.00806,0.47149,0.9639,0.9611,0.98727,0.676,0.90901,0.90236,0.91129,0.51329,0.87043,1.28276,0.26326,0.00776,0,0.000597873,0.000597873,0.0406059
4,3171.15,1.32323,1.92493,0.61262,0.00791,0.46552,0.96133,0.97086,0.98839,0.67517,0.90276,0.9116,0.91325,0.521,0.87255,1.25285,0.26597,0.0078,0,0.00079379,0.00079379,0.0208018
5,3948.59,1.30951,1.9165,0.61302,0.00784,0.46515,0.96739,0.96967,0.98908,0.67568,0.90901,0.90481,0.91161,0.51595,0.8665,1.25645,0.25005,0.00769,0,0.000986329,0.000986329,0.000994387
6,4729.03,1.3022,1.9079,0.60891,0.00781,0.46115,0.96907,0.9645,0.98909,0.67621,0.91129,0.90572,0.91214,0.51722,0.8633,1.24564,0.25846,0.00764,0,0.000978824,0.000978824,0.000978824
7,5504.81,1.302,1.90237,0.59833,0.00782,0.46059,0.96615,0.96808,0.98953,0.68079,0.90992,0.90696,0.9127,0.52006,0.85049,1.24611,0.24821,0.00751,0,0.000969613,0.000969613,0.000969613
8,6283.73,1.29606,1.89801,0.59829,0.00771,0.45775,0.96619,0.97374,0.98908,0.68179,0.90936,0.91647,0.91612,0.52055,0.84572,1.24321,0.24961,0.00743,0,0.000958809,0.000958809,0.000958809
9,7064,1.29885,1.90931,0.59471,0.0077,0.45156,0.97039,0.97136,0.98989,0.68247,0.9114,0.91169,0.91537,0.52084,0.84425,1.23874,0.24638,0.00744,0,0.000946455,0.000946455,0.000946455
10,7839.81,1.29297,1.90066,0.59364,0.00767,0.45381,0.96829,0.97124,0.99055,0.68364,0.90956,0.90719,0.90587,0.51852,0.8402,1.24088,0.25076,0.00735,0,0.000932598,0.000932598,0.000932598
11,8619.28,1.28622,1.8915,0.58941,0.00764,0.44481,0.96996,0.97589,0.99052,0.6877,0.91172,0.91364,0.9148,0.52636,0.83658,1.23671,0.24005,0.00733,0,0.000917289,0.000917289,0.000917289
12,9399.85,1.29183,1.90075,0.59472,0.00765,0.457,0.96972,0.97504,0.99008,0.68477,0.91384,0.91636,0.91551,0.52249,0.8407,1.24053,0.24796,0.00738,0,0.000900586,0.000900586,0.000900586
13,10181.5,1.28984,1.89292,0.58586,0.00769,0.44892,0.9715,0.97227,0.99054,0.68706,0.91622,0.91239,0.91536,0.52534,0.83821,1.23422,0.2428,0.00732,0,0.000882554,0.000882554,0.000882554
14,10963.4,1.28275,1.89439,0.58176,0.00762,0.44195,0.96873,0.97849,0.99032,0.68704,0.91204,0.91896,0.91675,0.52502,0.83535,1.23612,0.24128,0.00729,0,0.00086326,0.00086326,0.00086326
15,11737.5,1.27992,1.88158,0.58194,0.00758,0.44481,0.97153,0.97329,0.99027,0.6888,0.91557,0.91447,0.91603,0.5255,0.83423,1.23358,0.24107,0.00728,0,0.000842778,0.000842778,0.000842778
16,12520.8,1.27776,1.88282,0.57833,0.00754,0.44701,0.97243,0.97397,0.99062,0.68722,0.92006,0.91387,0.91688,0.52542,0.83254,1.23444,0.24143,0.00727,0,0.000821186,0.000821186,0.000821186
17,13304.8,1.27265,1.88021,0.5723,0.00751,0.43746,0.97269,0.97521,0.99053,0.688,0.92082,0.9135,0.9164,0.52563,0.83129,1.23271,0.23987,0.00725,0,0.000798564,0.000798564,0.000798564
18,14092.9,1.27,1.8786,0.5677,0.00748,0.43613,0.97281,0.97586,0.99061,0.68862,0.9159,0.91534,0.91638,0.52559,0.83035,1.23186,0.23727,0.00724,0,0.000775,0.000775,0.000775
