epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,244.432,1.96584,2.99274,1.75607,0.00936,1.469,0.7889,0.65252,0.743,0.36388,0.67782,0.5626,0.56457,0.19169,1.76712,2.72098,1.31789,0.00914,0,0.000199655,0.000199655,0.0802341
2,463.486,1.85524,2.72536,1.24076,0.00866,1.04186,0.78883,0.79673,0.85048,0.39615,0.70847,0.69675,0.69308,0.21065,1.80492,2.69889,1.03433,0.00949,0,0.000399566,0.000399566,0.060434
3,677.303,1.8244,2.68916,1.1087,0.00858,0.98058,0.86372,0.83367,0.91233,0.45161,0.75729,0.73038,0.72,0.22861,1.71276,2.57037,0.78395,0.00878,0,0.000599123,0.000599123,0.0406336
4,889.794,1.79813,2.63045,1.01436,0.00849,0.9068,0.8999,0.85903,0.93469,0.47638,0.80721,0.75758,0.76803,0.26291,1.656,2.51503,0.67105,0.00839,0,0.000798058,0.000798058,0.0208325
5,1100.58,1.76327,2.59119,0.9626,0.00831,0.88686,0.91372,0.89142,0.95222,0.48711,0.80684,0.78457,0.74985,0.25523,1.6753,2.5082,0.59798,0.0085,0,0.000996108,0.000996108,0.00103059
6,1312.88,1.75003,2.57228,0.91065,0.00817,0.83349,0.91112,0.89983,0.95509,0.48582,0.80612,0.80132,0.77069,0.25604,1.64657,2.49019,0.57342,0.00833,0,0.00099446,0.00099446,0.00099446
7,1526.53,1.735,2.55506,0.90219,0.00818,0.81798,0.91597,0.92161,0.95837,0.48903,0.81248,0.80261,0.78177,0.27065,1.65757,2.47849,0.56561,0.00835,0,0.000992029,0.000992029,0.000992029
8,1739.82,1.73422,2.53582,0.8752,0.00807,0.81328,0.92367,0.92747,0.96449,0.50041,0.82957,0.82963,0.80706,0.28039,1.62007,2.45412,0.55907,0.00818,0,0.000989163,0.000989163,0.000989163
9,1952.57,1.71678,2.52515,0.8598,0.00804,0.7935,0.92298,0.92501,0.95878,0.50161,0.8361,0.83624,0.79635,0.27021,1.63167,2.44935,0.54666,0.0083,0,0.000985862,0.000985862,0.000985862
10,2165.64,1.71098,2.52152,0.86212,0.00799,0.78523,0.93964,0.9212,0.9643,0.51226,0.84508,0.82213,0.79764,0.27643,1.60653,2.46676,0.51762,0.00813,0,0.000982132,0.000982132,0.000982132
11,2377.35,1.68818,2.50822,0.81103,0.0079,0.73661,0.9326,0.93326,0.96462,0.50887,0.84305,0.83422,0.80692,0.28186,1.61031,2.44565,0.51498,0.00805,0,0.000977975,0.000977975,0.000977975
12,2588.61,1.69837,2.49634,0.82345,0.00802,0.75801,0.93193,0.94107,0.97171,0.50959,0.83413,0.82903,0.79206,0.26746,1.61375,2.4295,0.53327,0.00818,0,0.000973396,0.000973396,0.000973396
13,2799.56,1.68317,2.48335,0.81166,0.00781,0.73677,0.93192,0.93641,0.9677,0.51386,0.85167,0.84231,0.81888,0.28761,1.5879,2.42718,0.50644,0.00804,0,0.000968399,0.000968399,0.000968399
14,3011.22,1.67403,2.48223,0.80714,0.00784,0.75315,0.93873,0.93494,0.96881,0.51066,0.84389,0.8311,0.80386,0.28222,1.58747,2.42947,0.51782,0.00803,0,0.00096299,0.00096299,0.00096299
15,3223.84,1.66683,2.47663,0.82302,0.0078,0.74771,0.94154,0.93825,0.97262,0.51612,0.83844,0.83551,0.79159,0.27043,1.55298,2.41131,0.5589,0.00779,0,0.000957172,0.000957172,0.000957172
16,3434.82,1.6621,2.4654,0.79751,0.00781,0.72591,0.94067,0.93714,0.96638,0.50642,0.84936,0.8447,0.80385,0.27429,1.61663,2.43364,0.50644,0.00822,0,0.000950953,0.000950953,0.000950953
17,3646.48,1.65624,2.45932,0.78837,0.00776,0.7084,0.94811,0.94032,0.9766,0.52012,0.84119,0.83428,0.79288,0.28,1.56969,2.42051,0.50045,0.00784,0,0.000944338,0.000944338,0.000944338
18,3860.14,1.64788,2.45289,0.76918,0.00767,0.68661,0.9503,0.94536,0.97857,0.52913,0.8526,0.84268,0.80917,0.28539,1.58297,2.42061,0.466,0.00795,0,0.000937334,0.000937334,0.000937334
19,4074.08,1.64229,2.43346,0.76083,0.00764,0.69225,0.94861,0.9524,0.97742,0.52738,0.84534,0.84581,0.7956,0.28072,1.57687,2.40043,0.47802,0.00795,0,0.000929948,0.000929948,0.000929948
