epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9857,1.38324,1.90064,3.66367,0.01087,2.09585,0,0,0,0,0,0,0,0,2.94434,6.4418,5.70967,0.04272,0,0.000196825,0.000196825,0.0805143
2,75.5745,1.14229,1.25609,1.50867,0.00798,0.69515,0.15155,0.98387,0.59649,0.38733,0.1528,0.99194,0.59907,0.4329,1.19658,1.06751,2.15948,0.01117,0,0.000396737,0.000396737,0.0607142
3,97.64,1.03836,1.11619,1.13096,0.00694,0.52758,0.64236,0.70968,0.72973,0.56831,0.64236,0.70968,0.72973,0.60886,0.957,0.8321,1.20999,0.00823,0,0.000596295,0.000596295,0.0409138
4,120.277,1.01116,0.9841,1.05571,0.00678,0.44135,0.81138,0.83871,0.84462,0.64242,0.81138,0.83871,0.84462,0.67862,0.96543,0.80067,1.02478,0.00885,0,0.000795234,0.000795234,0.0211127
5,142.671,0.95167,0.9418,0.86095,0.00631,0.42943,0.70514,0.90323,0.85802,0.66476,0.70878,0.91129,0.86628,0.7003,0.8192,0.79091,0.78189,0.00652,0,0.000993288,0.000993288,0.00131075
6,164.982,0.91983,0.92682,0.7865,0.00615,0.41405,0.85393,0.80645,0.92469,0.73227,0.85393,0.80645,0.92551,0.71302,0.80146,0.67296,0.63062,0.00618,0,0.00099446,0.00099446,0.00099446
7,187.299,0.93443,0.90709,0.72191,0.00617,0.37937,0.79956,0.8871,0.92544,0.75225,0.79956,0.8871,0.92544,0.74826,0.77054,0.72326,0.55429,0.00614,0,0.000992029,0.000992029,0.000992029
8,210.138,0.89826,0.92709,0.73279,0.00587,0.39089,0.90851,0.88087,0.95568,0.7584,0.90851,0.88087,0.95568,0.81847,0.82417,0.60505,0.47966,0.00749,0,0.000989163,0.000989163,0.000989163
9,233.036,0.85569,0.87406,0.63861,0.00543,0.35723,0.9067,0.92742,0.97417,0.82522,0.9067,0.92742,0.97417,0.8272,0.64515,0.67225,0.38365,0.00483,0,0.000985862,0.000985862,0.000985862
10,255.568,0.86249,0.85701,0.61695,0.00535,0.32755,0.93219,0.88692,0.96336,0.79062,0.93219,0.88692,0.96336,0.79671,0.72707,0.63988,0.46316,0.00627,0,0.000982132,0.000982132,0.000982132
