epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,694.185,1.00114,1.30009,0.44165,0.00875,0.40563,0.99352,0.98539,0.99482,0.81324,0.99352,0.98539,0.99482,0.76891,0.729,0.95403,0.63467,0.00872,0,0.000199891,0.000199891,0.0802108
2,1340.41,0.94294,1.26287,0.42706,0.00815,0.39614,0.9906,0.96711,0.99396,0.82119,0.9906,0.96711,0.99394,0.7464,0.70925,1.03879,0.24922,0.00812,0,0.00039955,0.00039955,0.0604104
3,1982.3,0.92526,1.24287,0.41901,0.00804,0.38583,0.9887,0.9901,0.99387,0.82702,0.9887,0.9901,0.99387,0.7716,0.69256,0.94849,0.20049,0.00817,0,0.000597845,0.000597845,0.0406087
4,2612.91,0.9089,1.23013,0.42346,0.0079,0.38912,0.99048,0.98662,0.99469,0.82964,0.99048,0.98662,0.99469,0.77008,0.6827,0.95426,0.21538,0.0078,0,0.000793762,0.000793762,0.0208046
5,3226.58,0.89348,1.22393,0.41294,0.00779,0.38313,0.99265,0.99096,0.99438,0.8334,0.99265,0.99096,0.99438,0.77187,0.67499,0.94362,0.19272,0.00777,0,0.000986301,0.000986301,0.000997171
6,3838.14,0.89225,1.22952,0.41638,0.00787,0.38661,0.98704,0.99297,0.99407,0.83232,0.98704,0.99297,0.99407,0.77233,0.67176,0.94452,0.19928,0.00771,0,0.000978824,0.000978824,0.000978824
7,4481.1,0.88763,1.22368,0.41947,0.00776,0.38969,0.99019,0.99297,0.99423,0.83906,0.99019,0.99297,0.99423,0.77423,0.66399,0.94013,0.1924,0.00759,0,0.000969613,0.000969613,0.000969613
8,5122.81,0.88561,1.22038,0.41521,0.00769,0.38476,0.99268,0.99547,0.99451,0.83865,0.99268,0.99547,0.99451,0.77687,0.66388,0.93783,0.18569,0.00751,0,0.000958809,0.000958809,0.000958809
9,5763.48,0.88184,1.2185,0.4136,0.00767,0.38331,0.99625,0.99541,0.99473,0.83934,0.99625,0.99541,0.99473,0.77458,0.65911,0.9398,0.18129,0.00749,0,0.000946455,0.000946455,0.000946455
10,6403.84,0.88205,1.21038,0.40964,0.00772,0.37806,0.99098,0.99755,0.99466,0.8396,0.99098,0.99755,0.99466,0.77331,0.65906,0.93803,0.1824,0.0075,0,0.000932598,0.000932598,0.000932598
11,7045.75,0.8768,1.20568,0.40433,0.00764,0.37929,0.99479,0.99216,0.99462,0.84024,0.99479,0.99216,0.99462,0.77583,0.65655,0.93972,0.18438,0.00746,0,0.000917289,0.000917289,0.000917289
12,7688.8,0.87349,1.20885,0.40311,0.00758,0.381,0.99298,0.9946,0.99434,0.84182,0.99298,0.9946,0.99434,0.77665,0.6548,0.94355,0.17942,0.00739,0,0.000900586,0.000900586,0.000900586
13,8340.5,0.87142,1.20949,0.40349,0.00757,0.37611,0.99475,0.99633,0.99432,0.84142,0.99475,0.99633,0.99432,0.77405,0.65594,0.94544,0.18285,0.0074,0,0.000882554,0.000882554,0.000882554
14,8998.69,0.86688,1.20201,0.40152,0.00755,0.37634,0.99209,0.99768,0.99402,0.84069,0.99209,0.99768,0.99402,0.77361,0.64988,0.94039,0.18321,0.00733,0,0.00086326,0.00086326,0.00086326
15,9651.09,0.86247,1.19215,0.39073,0.00747,0.36969,0.99348,0.99572,0.99465,0.84036,0.99348,0.99572,0.99465,0.7773,0.65067,0.93026,0.18232,0.00738,0,0.000842778,0.000842778,0.000842778
16,10297.3,0.86143,1.19718,0.39872,0.00743,0.37441,0.9939,0.99726,0.99478,0.84651,0.9939,0.99726,0.99478,0.77943,0.64338,0.93,0.1784,0.00729,0,0.000821186,0.000821186,0.000821186
17,10943.3,0.8613,1.19801,0.39744,0.00749,0.37614,0.99603,0.99785,0.99495,0.84804,0.99603,0.99785,0.99495,0.78157,0.6402,0.92718,0.17488,0.00722,0,0.000798564,0.000798564,0.000798564
18,11587.9,0.85471,1.18848,0.38923,0.00736,0.36953,0.99573,0.9977,0.99461,0.8441,0.99573,0.9977,0.99461,0.77805,0.64565,0.9297,0.17571,0.00728,0,0.000775,0.000775,0.000775
19,12237,0.85779,1.19388,0.39088,0.00742,0.3638,0.9945,0.99633,0.99492,0.84563,0.9945,0.99633,0.99492,0.7795,0.64195,0.9296,0.17809,0.00723,0,0.000750582,0.000750582,0.000750582
20,12884,0.85655,1.18988,0.38742,0.00741,0.36903,0.99658,0.99786,0.99484,0.8457,0.99658,0.99786,0.99484,0.77957,0.64238,0.92977,0.17566,0.00723,0,0.000725404,0.000725404,0.000725404
