epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,966.92,1.36844,1.54882,5.22114,1.12945,0,0.40688,0.4331,0.38101,0.16979,0.409,0.43543,0.38447,0.16533,1.07957,1.24144,2.64972,1.03694,0,0.000199919,0.000199919,0.080208
2,1883.57,1.2416,1.34104,5.10779,1.05077,0,0.3538,0.32671,0.27761,0.13855,0.36061,0.33299,0.28451,0.14093,1.036,1.01953,3.52614,1.02391,0,0.000399831,0.000399831,0.0604079
3,2797.09,1.20761,1.2868,5.08954,1.03198,0,0.34353,0.33809,0.25408,0.13639,0.34302,0.34171,0.25685,0.13433,0.98736,1.01132,5.02554,0.96728,0,0.000599387,0.000599387,0.0406074
4,3715.04,1.18007,1.25029,5.07029,1.02126,0,0.28204,0.26259,0.2037,0.12497,0.28617,0.26644,0.20771,0.12285,0.95087,0.96024,6.77496,0.96408,0,0.000798322,0.000798322,0.0208064
5,4626.95,1.16161,1.21886,5.05837,1.01414,0,0.21221,0.22332,0.16014,0.09869,0.21202,0.22592,0.16181,0.09757,0.93279,0.94296,6.12371,0.95144,0,0.000996371,0.000996371,0.00100443
6,5534.94,1.14608,1.1963,5.04796,1.00652,0,0.37009,0.37646,0.3356,0.21592,0.37433,0.37533,0.33664,0.20839,0.88505,0.91482,4.68427,0.93527,0,0.00099446,0.00099446,0.00099446
7,6462.02,1.12492,1.17638,5.03719,0.99902,0,0.27858,0.40136,0.25213,0.16017,0.27907,0.40204,0.25264,0.15436,0.87575,0.91631,4.94546,0.92703,0,0.000992029,0.000992029,0.000992029
8,7387.67,1.11375,1.15808,5.03513,0.99247,0,0.26482,0.41249,0.26324,0.17027,0.26543,0.41336,0.26418,0.16532,0.86129,0.90538,4.20547,0.9243,0,0.000989163,0.000989163,0.000989163
9,8316.8,1.10943,1.14555,5.03202,0.99119,0,0.31643,0.46113,0.28558,0.17629,0.32019,0.45716,0.28698,0.17123,0.86051,0.89883,4.09368,0.91974,0,0.000985862,0.000985862,0.000985862
10,9240.79,1.087,1.12789,5.01667,0.98312,0,0.278,0.39672,0.25456,0.16405,0.27792,0.3966,0.25505,0.15984,0.85436,0.90396,4.46427,0.92367,0,0.000982132,0.000982132,0.000982132
