epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,284.304,1.66898,1.22002,5.22684,1.27379,0,0.41362,0.48686,0.37161,0.13976,0.33149,0.39019,0.24154,0.06576,1.72605,2.507,2.55598,1.40459,0,0.000199655,0.000199655,0.0802341
2,539.604,1.52295,1.02329,4.98641,1.16273,0,0.0941,0.30105,0.07127,0.03055,0.09008,0.31024,0.06938,0.02715,1.59321,0.76215,6.35889,1.21749,0,0.000399566,0.000399566,0.060434
3,793.824,1.47859,1.00693,4.97148,1.14403,0,0.15684,0.3435,0.12927,0.06072,0.15751,0.34185,0.12911,0.05749,1.49267,0.66291,2.72446,1.19114,0,0.000599123,0.000599123,0.0406336
4,1047.03,1.45653,0.98478,4.96471,1.12972,0,0.16199,0.35692,0.1294,0.0634,0.16074,0.35416,0.12716,0.05555,1.50774,0.66895,2.73476,1.2056,0,0.000798058,0.000798058,0.0208325
5,1299.41,1.42909,0.96357,4.95706,1.11605,0,0.2703,0.3288,0.22208,0.09882,0.26855,0.32163,0.2162,0.08679,1.54475,0.65074,3.20167,1.2439,0,0.000996108,0.000996108,0.00103059
6,1552.91,1.43562,0.95403,4.95892,1.11668,0,0.23012,0.42658,0.21071,0.10424,0.22722,0.42455,0.20642,0.08958,1.48888,0.6684,2.70401,1.18652,0,0.00099446,0.00099446,0.00099446
7,1804.7,1.40295,0.94829,4.94185,1.10449,0,0.23178,0.29737,0.17641,0.08652,0.22767,0.29774,0.17343,0.07804,1.48042,0.7469,3.97687,1.17271,0,0.000992029,0.000992029,0.000992029
8,2056.74,1.39311,0.93563,4.94433,1.10527,0,0.38327,0.40948,0.34504,0.17318,0.37651,0.40581,0.33567,0.14942,1.46378,0.6405,2.91014,1.15447,0,0.000989163,0.000989163,0.000989163
9,2309.31,1.38279,0.92366,4.93816,1.09669,0,0.31332,0.44732,0.28818,0.1429,0.30928,0.44514,0.28397,0.1282,1.459,0.66917,3.30313,1.15539,0,0.000985862,0.000985862,0.000985862
10,2561.18,1.37063,0.92045,4.92285,1.0921,0,0.27425,0.33308,0.23927,0.11783,0.27137,0.32959,0.23451,0.10439,1.44159,0.68992,4.07184,1.16306,0,0.000982132,0.000982132,0.000982132
11,2814.21,1.36737,0.92002,4.93474,1.09199,0,0.37087,0.44643,0.36109,0.17963,0.3706,0.44201,0.3548,0.15693,1.4493,0.64095,2.93209,1.14124,0,0.000977975,0.000977975,0.000977975
12,3066.93,1.37027,0.92038,4.93985,1.08636,0,0.24794,0.36997,0.23013,0.11614,0.24632,0.36758,0.22742,0.10176,1.44384,0.6835,4.02384,1.14726,0,0.000973396,0.000973396,0.000973396
13,3320.45,1.3524,0.91475,4.93362,1.08489,0,0.29848,0.4093,0.27418,0.13599,0.2966,0.40673,0.26927,0.11906,1.45234,0.65167,3.15517,1.16895,0,0.000968399,0.000968399,0.000968399
14,3573.68,1.35027,0.90053,4.93182,1.08258,0,0.16701,0.35674,0.14189,0.06855,0.16563,0.3538,0.14038,0.06231,1.43022,0.64464,4.59939,1.16028,0,0.00096299,0.00096299,0.00096299
15,3828.41,1.34836,0.9092,4.92835,1.0845,0,0.4321,0.50579,0.44634,0.22058,0.42922,0.49734,0.43508,0.18323,1.44333,0.64172,3.41567,1.17268,0,0.000957172,0.000957172,0.000957172
16,4082.02,1.34463,0.91411,4.92777,1.07902,0,0.41847,0.4444,0.41724,0.20367,0.41402,0.44348,0.40691,0.1723,1.4369,0.68262,3.73565,1.15303,0,0.000950953,0.000950953,0.000950953
17,4336.05,1.33345,0.89978,4.92448,1.07459,0,0.34323,0.37953,0.31236,0.15138,0.33824,0.37401,0.30317,0.12755,1.45183,0.67332,4.27152,1.16309,0,0.000944338,0.000944338,0.000944338
18,4589.72,1.33024,0.89153,4.92055,1.07383,0,0.40425,0.5034,0.39648,0.19883,0.40204,0.50064,0.39031,0.17244,1.43107,0.66718,3.16064,1.14791,0,0.000937334,0.000937334,0.000937334
19,4843.77,1.32608,0.89487,4.92043,1.06938,0,0.21491,0.35177,0.18834,0.09227,0.21214,0.34736,0.1826,0.08074,1.41058,0.65412,5.09904,1.14473,0,0.000929948,0.000929948,0.000929948
20,5098.37,1.31239,0.89446,4.9077,1.06267,0,0.17007,0.31538,0.15092,0.07306,0.16779,0.31116,0.14746,0.06416,1.4229,0.6613,4.70811,1.15136,0,0.000922186,0.000922186,0.000922186
21,5351.99,1.32338,0.89885,4.92207,1.06954,0,0.27306,0.35232,0.24585,0.12105,0.26687,0.35196,0.23743,0.10385,1.41707,0.66669,4.46864,1.14598,0,0.000914058,0.000914058,0.000914058
22,5604.5,1.31766,0.89376,4.91495,1.06839,0,0.27281,0.38044,0.26397,0.13372,0.27007,0.37659,0.2591,0.11735,1.42909,0.67216,4.019,1.14753,0,0.00090557,0.00090557,0.00090557
23,5857.61,1.31066,0.90055,4.9178,1.06398,0,0.17569,0.31704,0.1502,0.07449,0.17396,0.31391,0.14658,0.06555,1.40765,0.6872,5.19969,1.13844,0,0.000896731,0.000896731,0.000896731
24,6111.3,1.31083,0.89118,4.9151,1.06548,0,0.2368,0.36335,0.22009,0.1091,0.23441,0.35968,0.21562,0.09608,1.39688,0.64447,4.37554,1.13233,0,0.00088755,0.00088755,0.00088755
25,6365.22,1.30964,0.88865,4.92191,1.06295,0,0.26746,0.33909,0.23477,0.11658,0.26279,0.33928,0.22906,0.1008,1.39343,0.64761,4.99657,1.14142,0,0.000878036,0.000878036,0.000878036
26,6619.75,1.29923,0.88547,4.91086,1.06095,0,0.22142,0.29774,0.21191,0.10236,0.21487,0.30307,0.20552,0.0902,1.38059,0.65929,4.58698,1.13257,0,0.000868198,0.000868198,0.000868198
27,6874.58,1.29911,0.88374,4.91079,1.05856,0,0.2839,0.36795,0.26944,0.13295,0.27972,0.36942,0.2654,0.11782,1.38807,0.66325,4.14002,1.12647,0,0.000858046,0.000858046,0.000858046
28,7128.41,1.29436,0.88116,4.91604,1.05769,0,0.29477,0.32108,0.27097,0.13354,0.29308,0.31924,0.26637,0.11815,1.40993,0.66923,4.0669,1.14011,0,0.00084759,0.00084759,0.00084759
