epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4904,0.87016,1.53372,6.45369,1.03121,0,0.85397,0.82258,0.84813,0.63523,0.85397,0.82258,0.84719,0.56789,0.93261,2.49831,1.29816,0.95123,0,0.000196825,0.000196825,0.0805143
2,98.9648,0.71853,1.04271,5.15291,0.88546,0,0.46771,0.73698,0.51744,0.3996,0.51586,0.75806,0.57477,0.44891,0.64184,0.92567,3.13104,0.82169,0,0.000396737,0.000396737,0.0607142
3,128.146,0.69194,0.90612,5.00742,0.87267,0,0.49356,0.62097,0.48409,0.37631,0.48656,0.62903,0.4938,0.39219,0.57921,0.72692,3.752,0.80394,0,0.000596295,0.000596295,0.0409138
4,155.995,0.69441,0.8513,5.0096,0.87108,0,0.44871,0.59677,0.51459,0.41719,0.48624,0.60298,0.54211,0.4203,0.60271,0.67737,3.96221,0.80382,0,0.000795234,0.000795234,0.0211127
5,183.371,0.62161,0.7724,4.97673,0.85618,0,0.28085,0.54839,0.28703,0.2329,0.31938,0.53226,0.3087,0.24943,0.58885,0.67157,4.28915,0.8004,0,0.000993288,0.000993288,0.00131075
6,212.095,0.63545,0.81011,4.97621,0.85817,0,0.14688,0.70968,0.14452,0.11719,0.15689,0.65323,0.15224,0.12413,0.60385,0.66306,4.41826,0.80189,0,0.00099446,0.00099446,0.00099446
7,240.28,0.65391,0.8056,4.98453,0.85803,0,0.21415,0.48387,0.21473,0.17312,0.21415,0.48387,0.2155,0.17852,0.59417,0.60509,4.37867,0.81361,0,0.000992029,0.000992029,0.000992029
8,268.078,0.64292,0.78156,4.97533,0.8613,0,0.23409,0.69756,0.23813,0.18956,0.2368,0.70563,0.24234,0.20183,0.61885,0.59081,2.89892,0.80945,0,0.000989163,0.000989163,0.000989163
9,296.047,0.60914,0.75055,4.93527,0.85392,0,0.13313,0.55645,0.12532,0.10323,0.14367,0.58065,0.13315,0.10586,0.54182,0.62335,4.34683,0.79721,0,0.000985862,0.000985862,0.000985862
10,324.1,0.60568,0.73573,4.93854,0.85839,0,0.19893,0.76613,0.19437,0.15966,0.20305,0.75806,0.1991,0.15922,0.55482,0.55608,3.79173,0.78903,0,0.000982132,0.000982132,0.000982132
11,352.049,0.58388,0.72706,4.93849,0.84459,0,0.34083,0.75,0.3778,0.30726,0.34083,0.75,0.37957,0.32023,0.54745,0.57697,2.99486,0.79447,0,0.000977975,0.000977975,0.000977975
12,380.112,0.57733,0.75146,4.91967,0.84613,0,0.33305,0.72581,0.36176,0.30109,0.3425,0.73096,0.36301,0.30848,0.53377,0.55946,3.2367,0.79656,0,0.000973396,0.000973396,0.000973396
13,408.393,0.55953,0.71515,4.92839,0.83801,0,0.15223,0.62097,0.15663,0.12972,0.15223,0.62097,0.15663,0.12701,0.5355,0.59885,4.87046,0.78959,0,0.000968399,0.000968399,0.000968399
14,436.435,0.57905,0.69205,4.94731,0.84346,0,0.25819,0.66129,0.29248,0.2275,0.25504,0.65323,0.29119,0.23472,0.59898,0.5695,3.5255,0.80934,0,0.00096299,0.00096299,0.00096299
15,464.287,0.56945,0.69965,4.92143,0.85054,0,0.44008,0.66935,0.48443,0.41679,0.44008,0.66935,0.48443,0.4057,0.51996,0.55091,3.68292,0.78818,0,0.000957172,0.000957172,0.000957172
16,492.189,0.55654,0.68811,4.92933,0.84033,0,0.60619,0.79448,0.64943,0.5597,0.60619,0.79448,0.64972,0.5473,0.47747,0.53698,2.47286,0.78026,0,0.000950953,0.000950953,0.000950953
17,520.265,0.54448,0.70093,4.90153,0.83791,0,0.52704,0.75806,0.57507,0.4982,0.52143,0.75,0.5654,0.48742,0.47241,0.51853,3.57916,0.78576,0,0.000944338,0.000944338,0.000944338
18,548.263,0.52945,0.67283,4.90293,0.83334,0,0.22246,0.52419,0.23002,0.19413,0.22246,0.52419,0.23093,0.19503,0.4935,0.53724,3.92539,0.78895,0,0.000937334,0.000937334,0.000937334
19,576.085,0.52016,0.68616,4.93332,0.83177,0,0.34813,0.67742,0.33954,0.28629,0.34813,0.67742,0.33955,0.28281,0.54511,0.54738,2.92006,0.78291,0,0.000929948,0.000929948,0.000929948
20,604.097,0.5441,0.6809,4.90779,0.83688,0,0.19506,0.6371,0.18549,0.15559,0.1938,0.62903,0.18343,0.15082,0.53489,0.50073,4.25864,0.78498,0,0.000922186,0.000922186,0.000922186
