epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,796.603,0.95655,1.79917,4.87093,1.03304,0,0.40817,0.57064,0.43661,0.32296,0.41649,0.58226,0.44888,0.31079,0.77662,1.2312,4.58629,0.93786,0,0.000199891,0.000199891,0.0802108
2,1544.69,0.84192,1.53499,4.74029,0.97375,0,0.54871,0.68624,0.61722,0.44572,0.54045,0.68379,0.60676,0.40101,0.78299,1.30574,2.53275,0.93131,0,0.000399803,0.000399803,0.0604107
3,2295.04,0.81929,1.48361,4.72606,0.96192,0,0.49432,0.45596,0.45184,0.35013,0.49465,0.45627,0.45204,0.32588,0.74777,1.09026,3.8504,0.91898,0,0.000599359,0.000599359,0.0406102
4,3041.59,0.79855,1.42554,4.71664,0.95449,0,0.10191,0.47579,0.08893,0.06613,0.10184,0.47549,0.08904,0.06406,0.73681,1.03348,5.38337,0.91779,0,0.000798294,0.000798294,0.0208092
5,3784.54,0.78457,1.39045,4.70672,0.95012,0,0.2684,0.45902,0.26047,0.20127,0.26893,0.45994,0.2613,0.19234,0.71024,1.01404,3.36691,0.89923,0,0.000996343,0.000996343,0.00100721
6,4526.2,0.7687,1.36495,4.69862,0.94266,0,0.08935,0.55688,0.0836,0.06423,0.0894,0.55719,0.08375,0.06216,0.70148,0.99491,4.00988,0.89284,0,0.00099446,0.00099446,0.00099446
7,5270.55,0.76121,1.34799,4.69545,0.93796,0,0.03972,0.64037,0.03843,0.02896,0.03989,0.64312,0.03867,0.02828,0.68543,0.98267,7.04949,0.8902,0,0.000992029,0.000992029,0.000992029
8,6012.08,0.745,1.31607,4.68697,0.93095,0,0.03339,0.59664,0.03202,0.02408,0.03337,0.60183,0.03213,0.02356,0.68161,0.98219,7.47308,0.88539,0,0.000989163,0.000989163,0.000989163
9,6753.84,0.73911,1.31185,4.68553,0.93036,0,0.0574,0.55596,0.05482,0.04181,0.05712,0.58104,0.05495,0.04077,0.66787,0.98176,5.18643,0.87934,0,0.000985862,0.000985862,0.000985862
10,7495.78,0.73483,1.29716,4.68361,0.927,0,0.06803,0.68379,0.06628,0.0496,0.06855,0.68135,0.06676,0.04879,0.6739,0.96818,5.04947,0.88214,0,0.000982132,0.000982132,0.000982132
11,8236.23,0.72695,1.28222,4.68319,0.92492,0,0.03922,0.84434,0.03894,0.02898,0.03952,0.84251,0.03918,0.02853,0.66236,0.96852,7.38829,0.88089,0,0.000977975,0.000977975,0.000977975
12,8977.99,0.71807,1.27661,4.67637,0.92077,0,0.03868,0.79664,0.03799,0.02851,0.03883,0.79755,0.03824,0.02793,0.65572,0.96062,6.5165,0.87586,0,0.000973396,0.000973396,0.000973396
13,9721.3,0.71023,1.25677,4.67538,0.91734,0,0.04541,0.73242,0.04443,0.03406,0.04558,0.73517,0.04461,0.03298,0.64383,0.95915,5.51394,0.87137,0,0.000968399,0.000968399,0.000968399
14,10464.7,0.7076,1.24125,4.67484,0.91627,0,0.04712,0.73364,0.04634,0.03569,0.04754,0.74006,0.04683,0.03455,0.6482,0.95449,5.66224,0.87151,0,0.00096299,0.00096299,0.00096299
15,11208.5,0.70702,1.24777,4.67082,0.91571,0,0.04442,0.70826,0.04322,0.03397,0.04439,0.70489,0.04336,0.03249,0.6381,0.95805,6.10384,0.86715,0,0.000957172,0.000957172,0.000957172
16,11952.9,0.69648,1.22815,4.67229,0.91304,0,0.04759,0.67278,0.04636,0.03646,0.04767,0.67401,0.04645,0.03491,0.63442,0.9563,5.16871,0.86653,0,0.000950953,0.000950953,0.000950953
17,12698.8,0.69523,1.22558,4.66865,0.91137,0,0.04916,0.70799,0.0481,0.03745,0.04929,0.70982,0.04825,0.03593,0.63017,0.94989,5.51409,0.86456,0,0.000944338,0.000944338,0.000944338
18,13445.2,0.69238,1.22229,4.66739,0.90884,0,0.05546,0.69297,0.05379,0.04118,0.05577,0.69694,0.05415,0.03979,0.62304,0.9427,5.4794,0.86155,0,0.000937334,0.000937334,0.000937334
19,14191.4,0.68851,1.21989,4.67007,0.91109,0,0.04556,0.66024,0.04426,0.0342,0.04568,0.66208,0.04441,0.03304,0.62306,0.9442,5.70371,0.86094,0,0.000929948,0.000929948,0.000929948
20,14937.2,0.68022,1.20348,4.66349,0.90863,0,0.05814,0.58716,0.0545,0.04287,0.05817,0.58746,0.05461,0.04085,0.6181,0.94161,4.8081,0.85877,0,0.000922186,0.000922186,0.000922186
21,15683.6,0.68422,1.20819,4.66492,0.90829,0,0.06673,0.57706,0.06347,0.04992,0.06684,0.57798,0.06355,0.04754,0.61851,0.94401,4.0414,0.85812,0,0.000914058,0.000914058,0.000914058
22,16429.3,0.67763,1.19476,4.66484,0.90638,0,0.05841,0.63547,0.05669,0.04461,0.05844,0.63578,0.05676,0.0424,0.6191,0.94446,4.29839,0.85884,0,0.00090557,0.00090557,0.00090557
23,17173.7,0.67519,1.19243,4.66498,0.90514,0,0.06461,0.60856,0.06288,0.04969,0.06454,0.60795,0.06287,0.04719,0.61535,0.93934,3.96054,0.85726,0,0.000896731,0.000896731,0.000896731
