epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,879.598,0.91328,0.9525,4.94684,0.92049,0,0.28447,0.37487,0.21627,0.15416,0.28464,0.3751,0.21639,0.14433,0.76502,0.85162,5.09522,0.87963,0,0.000320931,0.000320931,0.000320931
69,1748.16,0.91485,0.95914,4.94923,0.9211,0,0.2851,0.37487,0.21605,0.15401,0.28527,0.3751,0.21608,0.14418,0.76467,0.85155,5.10372,0.87966,0,0.000308878,0.000308878,0.000308878
70,2619,0.91592,0.95616,4.95326,0.9205,0,0.2831,0.37487,0.21577,0.1539,0.28318,0.37499,0.21581,0.14415,0.76452,0.85172,5.12025,0.87968,0,0.000297062,0.000297062,0.000297062
71,3490.99,0.90947,0.9542,4.94647,0.9192,0,0.2842,0.3751,0.21669,0.15465,0.28246,0.37691,0.21673,0.14482,0.76441,0.85177,5.12293,0.8797,0,0.000285497,0.000285497,0.000285497
72,4361.42,0.91176,0.9495,4.94679,0.91986,0,0.2869,0.37453,0.2194,0.15676,0.28598,0.37714,0.21941,0.14668,0.76441,0.85204,5.1254,0.87985,0,0.000274192,0.000274192,0.000274192
73,5231.86,0.90978,0.95024,4.94839,0.91954,0,0.28806,0.37623,0.21993,0.15717,0.28815,0.37634,0.21975,0.14699,0.76454,0.8524,5.13754,0.87986,0,0.000263159,0.000263159,0.000263159
74,6102.94,0.9089,0.951,4.94411,0.91971,0,0.28698,0.3794,0.22005,0.1574,0.28707,0.37951,0.21989,0.14707,0.76443,0.85267,5.14404,0.87983,0,0.00025241,0.00025241,0.00025241
75,6973.06,0.90932,0.94643,4.94581,0.91833,0,0.28861,0.37216,0.21904,0.15672,0.28861,0.37216,0.21896,0.14645,0.7643,0.85239,5.15192,0.87987,0,0.000241954,0.000241954,0.000241954
76,7847,0.91364,0.94625,4.94897,0.92,0,0.28707,0.37261,0.21839,0.15614,0.28707,0.37261,0.21827,0.14585,0.76416,0.85266,5.1563,0.87981,0,0.000231802,0.000231802,0.000231802
77,8720.38,0.90698,0.94301,4.94393,0.91906,0,0.28671,0.37329,0.21939,0.15694,0.28662,0.37317,0.21921,0.1466,0.76398,0.85271,5.15993,0.87964,0,0.000221964,0.000221964,0.000221964
78,9590.47,0.90295,0.9479,4.93723,0.91574,0,0.2914,0.37035,0.21959,0.15698,0.2914,0.37035,0.21946,0.14667,0.76385,0.85289,5.17094,0.87952,0,0.00021245,0.00021245,0.00021245
79,10462.3,0.90373,0.94318,4.92827,0.91745,0,0.29179,0.37102,0.22176,0.15861,0.2917,0.37091,0.22152,0.14812,0.76366,0.85262,5.15629,0.87946,0,0.000203269,0.000203269,0.000203269
80,11336.4,0.90729,0.9454,4.93281,0.91793,0,0.29118,0.36955,0.2218,0.15861,0.29109,0.36944,0.22158,0.14805,0.76348,0.85271,5.1666,0.87952,0,0.00019443,0.00019443,0.00019443
81,12210.9,0.90102,0.93678,4.93118,0.91676,0,0.29353,0.36333,0.22247,0.15913,0.29344,0.36321,0.22223,0.1485,0.76383,0.85339,5.16628,0.87966,0,0.000185942,0.000185942,0.000185942
82,13085.3,0.89692,0.93784,4.92584,0.91461,0,0.29298,0.36604,0.22265,0.15913,0.29289,0.36593,0.22247,0.14851,0.76379,0.85355,5.17104,0.87973,0,0.000177814,0.000177814,0.000177814
83,13961,0.89848,0.93647,4.92019,0.91558,0,0.29243,0.36503,0.22337,0.15971,0.29213,0.36491,0.22324,0.14909,0.76392,0.85379,5.16782,0.8798,0,0.000170052,0.000170052,0.000170052
84,14839.3,0.89453,0.93479,4.92715,0.91557,0,0.29383,0.36287,0.22436,0.16047,0.2924,0.36503,0.2242,0.14977,0.76414,0.85411,5.16167,0.88001,0,0.000162666,0.000162666,0.000162666
85,15716.8,0.89303,0.93986,4.92432,0.9141,0,0.29203,0.36423,0.2239,0.16021,0.29194,0.36412,0.22384,0.14957,0.76402,0.854,5.16897,0.8801,0,0.000155662,0.000155662,0.000155662
86,16559.9,0.84082,0.81288,5.0127,0.86837,0,0.29394,0.35948,0.22312,0.15964,0.29225,0.36106,0.22306,0.14897,0.76368,0.85412,5.12842,0.88012,0,0.000149047,0.000149047,0.000149047
87,17401.7,0.83698,0.80991,5.00194,0.86711,0,0.28989,0.36027,0.22143,0.15844,0.28971,0.36005,0.22135,0.14784,0.76353,0.85411,5.0681,0.88013,0,0.000142828,0.000142828,0.000142828
88,18246.1,0.83571,0.81132,4.99586,0.86684,0,0.28829,0.35869,0.22087,0.15792,0.28811,0.35846,0.22077,0.14745,0.7634,0.85408,4.99961,0.87998,0,0.00013701,0.00013701,0.00013701
89,19096.4,0.83281,0.81074,4.99539,0.86555,0,0.28651,0.35925,0.21991,0.15733,0.28624,0.35891,0.21972,0.14682,0.76328,0.85399,4.94445,0.8799,0,0.000131601,0.000131601,0.000131601
90,19939.3,0.83168,0.80764,4.99156,0.86567,0,0.28301,0.3622,0.21953,0.15693,0.28283,0.36197,0.21944,0.14644,0.76324,0.85399,4.88089,0.87969,0,0.000126604,0.000126604,0.000126604
91,20784.2,0.82855,0.80559,4.99025,0.86558,0,0.28246,0.3593,0.21805,0.15568,0.28219,0.35896,0.21793,0.14536,0.7632,0.85387,4.8207,0.87957,0,0.000122025,0.000122025,0.000122025
92,21626.1,0.82625,0.8062,4.97641,0.86451,0,0.28017,0.36142,0.21637,0.15445,0.27991,0.36108,0.21623,0.14423,0.76282,0.85346,4.75976,0.87942,0,0.000117868,0.000117868,0.000117868
93,22481.4,0.82447,0.80377,4.96552,0.86324,0,0.27946,0.3605,0.21562,0.15381,0.27928,0.36027,0.21544,0.14364,0.76275,0.85336,4.7004,0.87928,0,0.000114138,0.000114138,0.000114138
94,23325.4,0.82335,0.80205,4.9644,0.86288,0,0.27509,0.36321,0.21347,0.15222,0.27637,0.36152,0.21327,0.14212,0.76267,0.8535,4.65107,0.87911,0,0.000110837,0.000110837,0.000110837
95,24171.3,0.82009,0.80158,4.96139,0.86088,0,0.2771,0.35801,0.21205,0.15109,0.27675,0.35756,0.21182,0.14119,0.76273,0.85347,4.59877,0.8791,0,0.000107971,0.000107971,0.000107971
96,25023.2,0.82022,0.80151,4.96062,0.8626,0,0.27238,0.35857,0.20976,0.14941,0.27204,0.35812,0.20958,0.1396,0.7629,0.85375,4.55838,0.87914,0,0.00010554,0.00010554,0.00010554
97,25869.4,0.81694,0.80352,4.95679,0.86087,0,0.27255,0.35812,0.20911,0.14891,0.27203,0.35744,0.20893,0.13903,0.76289,0.85349,4.50264,0.87898,0,0.000103548,0.000103548,0.000103548
98,26716.6,0.81605,0.80062,4.95676,0.86114,0,0.26983,0.35744,0.20722,0.14762,0.26923,0.35665,0.20695,0.13772,0.76302,0.8536,4.46071,0.87886,0,0.000101997,0.000101997,0.000101997
99,27562.4,0.81466,0.79803,4.95627,0.86012,0,0.26701,0.3528,0.20613,0.1468,0.2665,0.35212,0.20575,0.13704,0.76297,0.85346,4.42152,0.87878,0,0.000100888,0.000100888,0.000100888
100,28410.6,0.81365,0.79743,4.95622,0.85944,0,0.26532,0.35224,0.20478,0.14579,0.2648,0.35156,0.20443,0.13609,0.763,0.85362,4.38989,0.87853,0,0.000100222,0.000100222,0.000100222
