epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,272.957,1.66757,1.22931,5.2318,1.2766,0,0.03944,0.40268,0.03451,0.01586,0.03955,0.40379,0.03444,0.01435,1.59533,0.8282,6.58716,1.25032,0,0.000199655,0.000199655,0.0802341
2,531.802,1.51913,1.02293,4.99216,1.16258,0,0.03615,0.47234,0.03272,0.01432,0.03537,0.46205,0.03159,0.01291,1.58283,0.67201,3.66449,1.273,0,0.000399566,0.000399566,0.060434
3,790.274,1.47503,1.00479,4.97168,1.14102,0,0.17834,0.31745,0.11967,0.05799,0.17748,0.31226,0.11851,0.05365,1.49119,0.65319,3.04376,1.19123,0,0.000599123,0.000599123,0.0406336
4,1050.03,1.46429,0.98697,4.96777,1.13274,0,0.0678,0.20842,0.03876,0.01812,0.06726,0.20676,0.03845,0.0167,1.51717,0.65593,5.5111,1.19824,0,0.000798058,0.000798058,0.0208325
5,1307.64,1.4299,0.96533,4.96158,1.1156,0,0.08989,0.195,0.05267,0.02358,0.08895,0.19298,0.05184,0.02061,1.53431,0.6515,4.64988,1.21684,0,0.000996108,0.000996108,0.00103059
6,1564.17,1.42963,0.95869,4.96397,1.1134,0,0.08767,0.26833,0.05742,0.02747,0.08737,0.26741,0.05695,0.02526,1.46729,0.68125,3.87127,1.18625,0,0.00099446,0.00099446,0.00099446
7,1820.89,1.41376,0.95372,4.95147,1.10831,0,0.05184,0.23617,0.03402,0.01661,0.05166,0.23194,0.03389,0.01543,1.46681,0.67736,5.43998,1.16667,0,0.000992029,0.000992029,0.000992029
8,2079.42,1.39578,0.93411,4.9432,1.1048,0,0.03488,0.23452,0.02497,0.01251,0.03412,0.24233,0.02449,0.0114,1.42908,0.64115,5.31097,1.1589,0,0.000989163,0.000989163,0.000989163
9,2337.22,1.38386,0.92583,4.93991,1.09733,0,0.05157,0.26025,0.03608,0.01774,0.05131,0.25896,0.03571,0.01654,1.4074,0.64556,6.15676,1.14525,0,0.000985862,0.000985862,0.000985862
10,2594.69,1.37467,0.92305,4.92287,1.09213,0,0.1146,0.2415,0.06669,0.03386,0.11451,0.24132,0.06655,0.03212,1.40204,0.64939,4.5172,1.13762,0,0.000982132,0.000982132,0.000982132
11,2853.35,1.36393,0.91846,4.93037,1.08938,0,0.11908,0.23746,0.07522,0.03652,0.11806,0.23543,0.07452,0.03353,1.43599,0.63402,4.07601,1.13364,0,0.000977975,0.000977975,0.000977975
12,3110.25,1.37473,0.91975,4.94011,1.08662,0,0.13981,0.23543,0.08411,0.04202,0.13878,0.23548,0.08379,0.03932,1.39883,0.65053,3.83069,1.12717,0,0.000973396,0.000973396,0.000973396
13,3366.26,1.35726,0.91304,4.93269,1.0859,0,0.09608,0.25896,0.06228,0.03132,0.09549,0.25565,0.06162,0.02899,1.41443,0.62709,3.69993,1.14378,0,0.000968399,0.000968399,0.000968399
14,3619.7,1.34575,0.89944,4.93026,1.08011,0,0.05673,0.23911,0.0355,0.01815,0.05655,0.23838,0.03537,0.01722,1.38923,0.66492,5.12916,1.12475,0,0.00096299,0.00096299,0.00096299
15,3879.42,1.34336,0.91166,4.92431,1.08106,0,0.08152,0.2301,0.05197,0.02646,0.08106,0.22882,0.05152,0.02425,1.39282,0.65696,4.62641,1.12537,0,0.000957172,0.000957172,0.000957172
16,4138.86,1.34155,0.91309,4.92585,1.07782,0,0.07431,0.18875,0.04291,0.02087,0.07366,0.1871,0.04249,0.01883,1.42379,0.66582,4.22773,1.14533,0,0.000950953,0.000950953,0.000950953
17,4396.02,1.32935,0.89879,4.92444,1.07343,0,0.08972,0.23102,0.05777,0.02904,0.08929,0.22661,0.0569,0.02653,1.4137,0.65167,3.93055,1.13927,0,0.000944338,0.000944338,0.000944338
18,4654.52,1.33171,0.89109,4.91906,1.074,0,0.08194,0.22477,0.0536,0.0268,0.0809,0.22569,0.05286,0.0244,1.39283,0.64564,4.64973,1.13777,0,0.000937334,0.000937334,0.000937334
19,4911.4,1.32467,0.89345,4.9171,1.06858,0,0.13972,0.23415,0.09035,0.04284,0.13928,0.23341,0.08915,0.03913,1.39422,0.64765,3.70159,1.14839,0,0.000929948,0.000929948,0.000929948
20,5168.99,1.31564,0.89379,4.90816,1.06379,0,0.07097,0.18618,0.04123,0.0203,0.07069,0.18544,0.04102,0.01841,1.38837,0.64442,5.19393,1.13803,0,0.000922186,0.000922186,0.000922186
21,5430.77,1.3196,0.89623,4.91583,1.0663,0,0.1163,0.18655,0.06794,0.03386,0.11595,0.186,0.06737,0.03186,1.37406,0.63611,4.58163,1.11888,0,0.000914058,0.000914058,0.000914058
22,5690.55,1.31388,0.89029,4.91268,1.06607,0,0.12062,0.18305,0.06151,0.02961,0.11937,0.18269,0.06078,0.02777,1.38302,0.6529,4.3896,1.12384,0,0.00090557,0.00090557,0.00090557
23,5948.86,1.31285,0.8988,4.91637,1.06518,0,0.07218,0.17938,0.04629,0.02248,0.07152,0.17772,0.04491,0.02029,1.3847,0.65381,4.43642,1.12171,0,0.000896731,0.000896731,0.000896731
24,6206.81,1.31049,0.89004,4.91402,1.06519,0,0.09458,0.22919,0.06156,0.03057,0.09383,0.22919,0.06076,0.02794,1.37157,0.62645,4.49411,1.12293,0,0.00088755,0.00088755,0.00088755
25,6459.46,1.30451,0.88469,4.9176,1.05872,0,0.10043,0.18728,0.05966,0.02928,0.0964,0.20107,0.05892,0.02645,1.37853,0.6321,4.8239,1.11462,0,0.000878036,0.000878036,0.000878036
26,6713.96,1.2942,0.88283,4.91013,1.05824,0,0.07056,0.2075,0.05397,0.02651,0.06987,0.20695,0.0534,0.02494,1.37213,0.63558,4.98779,1.12423,0,0.000868198,0.000868198,0.000868198
27,6961.31,1.29639,0.88271,4.90831,1.05694,0,0.11803,0.2268,0.08419,0.04239,0.11664,0.22937,0.08355,0.03856,1.37293,0.63918,3.79794,1.11467,0,0.000858046,0.000858046,0.000858046
28,7211.4,1.29356,0.87951,4.91263,1.05697,0,0.11376,0.18452,0.07473,0.03721,0.11203,0.186,0.07366,0.03412,1.36461,0.63972,4.18563,1.11966,0,0.00084759,0.00084759,0.00084759
29,7457.05,1.28515,0.8705,4.89934,1.05392,0,0.10011,0.20805,0.06449,0.0321,0.0988,0.21099,0.06363,0.02983,1.36308,0.63866,4.60079,1.10938,0,0.000836841,0.000836841,0.000836841
30,7698.98,1.28298,0.87992,4.90543,1.05291,0,0.07025,0.19408,0.04686,0.02357,0.06939,0.19169,0.04622,0.02162,1.37725,0.63768,4.32631,1.12689,0,0.000825808,0.000825808,0.000825808
31,7941.12,1.28171,0.87882,4.90543,1.05102,0,0.09755,0.22257,0.071,0.03558,0.09722,0.22183,0.07035,0.03268,1.36043,0.63791,3.77561,1.10843,0,0.000814503,0.000814503,0.000814503
32,8183.22,1.28597,0.87689,4.91143,1.05315,0,0.12331,0.19022,0.08237,0.04111,0.12089,0.195,0.0808,0.03729,1.36622,0.64161,3.98965,1.12387,0,0.000802938,0.000802938,0.000802938
33,8426.46,1.27537,0.86431,4.90201,1.05163,0,0.101,0.1825,0.06795,0.03351,0.09978,0.1803,0.06659,0.03063,1.36391,0.63993,4.50584,1.11345,0,0.000791122,0.000791122,0.000791122
