epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0966,0.8581,1.5067,6.46066,1.02221,0,0.74762,0.64516,0.7056,0.50718,0.75431,0.6129,0.64888,0.37913,0.89977,3.67319,2.56338,0.96245,0,0.000196825,0.000196825,0.0805143
2,63.1104,0.7251,1.04312,5.16556,0.88499,0,0.40459,0.6371,0.48887,0.40849,0.39837,0.6371,0.47808,0.40255,0.58977,0.81294,4.15773,0.80049,0,0.000396737,0.000396737,0.0607142
3,89.3462,0.68305,0.90569,5.00295,0.86828,0,0.32932,0.48387,0.30009,0.24016,0.32932,0.48387,0.30041,0.24405,0.60271,0.62411,4.20378,0.79968,0,0.000596295,0.000596295,0.0409138
4,115.55,0.67831,0.83707,4.99221,0.85972,0,0.38415,0.53226,0.37965,0.31223,0.38415,0.53226,0.37991,0.31538,0.57936,0.63538,4.11778,0.79642,0,0.000795234,0.000795234,0.0211127
5,142.062,0.62728,0.77763,4.98282,0.85413,0,0.45906,0.45161,0.41647,0.36837,0.45906,0.45161,0.41647,0.35528,0.51786,0.57478,4.86813,0.78842,0,0.000993288,0.000993288,0.00131075
6,168.505,0.61707,0.76927,4.97455,0.85086,0,0.5569,0.65323,0.57189,0.49213,0.5569,0.65323,0.572,0.49174,0.52101,0.59197,2.79856,0.79587,0,0.00099446,0.00099446,0.00099446
7,194.728,0.63213,0.79423,4.97703,0.85456,0,0.35463,0.45161,0.37591,0.31773,0.35463,0.45161,0.37591,0.32626,0.55837,0.56398,5.39415,0.79533,0,0.000992029,0.000992029,0.000992029
8,220.901,0.61194,0.76689,4.97939,0.8603,0,0.33508,0.37903,0.31554,0.27143,0.33508,0.37903,0.31576,0.27622,0.53073,0.59392,8.91956,0.79534,0,0.000989163,0.000989163,0.000989163
9,247.751,0.57931,0.72495,4.92922,0.84936,0,0.70247,0.62903,0.69159,0.6026,0.70247,0.62903,0.69171,0.60168,0.51977,0.56156,2.56077,0.7863,0,0.000985862,0.000985862,0.000985862
10,274.363,0.62796,0.75928,4.94467,0.85794,0,0.19372,0.49194,0.18948,0.16046,0.19395,0.49194,0.18753,0.15966,0.52089,0.56711,8.02727,0.78541,0,0.000982132,0.000982132,0.000982132
11,300.653,0.5683,0.72993,4.92715,0.84072,0,0.52223,0.65323,0.61026,0.53054,0.52223,0.65323,0.61026,0.52079,0.48956,0.57752,5.47934,0.78544,0,0.000977975,0.000977975,0.000977975
12,327.057,0.56146,0.72143,4.91535,0.83574,0,0.55171,0.5856,0.58092,0.51828,0.55171,0.5856,0.58092,0.50323,0.45446,0.55137,4.72582,0.77718,0,0.000973396,0.000973396,0.000973396
13,353.54,0.54919,0.73038,4.93073,0.83729,0,0.36853,0.54032,0.38143,0.32211,0.36853,0.54032,0.38143,0.33106,0.48596,0.52415,5.61672,0.78733,0,0.000968399,0.000968399,0.000968399
14,379.938,0.59722,0.68587,4.95039,0.84376,0,0.24545,0.58065,0.2399,0.20624,0.24545,0.58065,0.2399,0.20269,0.52843,0.56592,8.31324,0.79634,0,0.00096299,0.00096299,0.00096299
15,406.476,0.55711,0.69553,4.91368,0.84669,0,0.35286,0.65323,0.36291,0.3151,0.35286,0.65323,0.36291,0.29513,0.50814,0.51174,6.49936,0.79383,0,0.000957172,0.000957172,0.000957172
16,432.664,0.54959,0.68572,4.92772,0.83906,0,0.67688,0.64516,0.66459,0.58501,0.67688,0.64516,0.66459,0.55778,0.46238,0.54551,4.54981,0.77911,0,0.000950953,0.000950953,0.000950953
17,458.964,0.53826,0.69531,4.90385,0.83591,0,0.63327,0.73387,0.70134,0.61945,0.63327,0.73387,0.69583,0.61219,0.45539,0.58536,4.75509,0.78894,0,0.000944338,0.000944338,0.000944338
