epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,771.084,0.95042,1.78671,4.86927,1.03031,0,0.52008,0.50367,0.47304,0.33901,0.53011,0.50948,0.48905,0.33238,0.81406,1.16179,2.12508,0.95753,0,0.000199891,0.000199891,0.0802108
2,1525.07,0.84212,1.53214,4.73773,0.97172,0,0.37579,0.3104,0.27114,0.18894,0.37653,0.31101,0.27273,0.1883,0.84941,1.10549,2.64078,0.95747,0,0.000399803,0.000399803,0.0604107
3,2276.57,0.82206,1.47268,4.72716,0.96136,0,0.44679,0.39817,0.39711,0.30448,0.44644,0.39786,0.39699,0.29264,0.76024,1.06893,3.55887,0.92172,0,0.000599359,0.000599359,0.0406102
4,3025.07,0.79931,1.41436,4.71604,0.95292,0,0.31796,0.39511,0.28898,0.22143,0.31968,0.39725,0.29128,0.21357,0.71788,1.02624,3.18213,0.90616,0,0.000798294,0.000798294,0.0208092
5,3770.34,0.77657,1.37969,4.70263,0.94487,0,0.16123,0.39083,0.12668,0.09822,0.16135,0.39113,0.12713,0.09451,0.70888,0.99597,4.26063,0.90259,0,0.000996343,0.000996343,0.00100721
6,4516.8,0.76126,1.34498,4.69466,0.93932,0,0.25119,0.38685,0.20332,0.15782,0.25162,0.38746,0.20372,0.15127,0.69154,0.99279,3.97499,0.89021,0,0.00099446,0.00099446,0.00099446
7,5263.72,0.7578,1.34033,4.69256,0.93532,0,0.25669,0.39694,0.2167,0.16745,0.25711,0.39755,0.21693,0.15993,0.69076,0.99356,3.48257,0.89286,0,0.000992029,0.000992029,0.000992029
8,6010.05,0.74483,1.30394,4.68594,0.92978,0,0.33829,0.4945,0.31514,0.24746,0.33941,0.49021,0.31521,0.23504,0.67508,0.97996,3.49623,0.8856,0,0.000989163,0.000989163,0.000989163
9,6757.89,0.73553,1.29788,4.68394,0.92819,0,0.13167,0.44067,0.11147,0.08703,0.132,0.43456,0.11169,0.08274,0.66643,0.97436,4.63733,0.87975,0,0.000985862,0.000985862,0.000985862
10,7504.75,0.7294,1.28287,4.68041,0.92373,0,0.1488,0.52294,0.13866,0.10783,0.14897,0.52355,0.13879,0.10314,0.66375,0.97459,3.82258,0.87943,0,0.000982132,0.000982132,0.000982132
