epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1004.18,1.46233,2.28402,1.23086,0.00906,0,0.84275,0.85874,0.9262,0.58397,0.77458,0.80351,0.82172,0.41905,0.97278,1.3746,0.57727,0.00951,0,0.000199919,0.000199919,0.080208
2,1953.41,1.40101,2.15622,0.95459,0.00854,0,0.8947,0.86935,0.94921,0.59828,0.82709,0.79989,0.83676,0.4226,0.9803,1.49111,0.62257,0.00945,0,0.000399696,0.000399696,0.0604078
3,2897.31,1.39233,2.12674,0.87708,0.00842,0,0.91156,0.91568,0.96781,0.64706,0.85799,0.84728,0.88124,0.48591,0.90682,1.32681,0.39944,0.00834,0,0.000598578,0.000598578,0.0406066
4,3833.4,1.35564,2.0902,0.81764,0.00819,0,0.92748,0.92247,0.9736,0.64548,0.86466,0.86078,0.88318,0.4829,0.89688,1.3218,0.36137,0.00802,0,0.000795899,0.000795899,0.020804
5,4768.01,1.33858,2.07628,0.78135,0.00807,0,0.93106,0.92783,0.977,0.65416,0.87453,0.8678,0.89527,0.48967,0.88509,1.31758,0.34823,0.00793,0,0.000990998,0.000990998,0.000999056
6,5701.04,1.34148,2.07754,0.76042,0.00809,0,0.93624,0.93809,0.98054,0.6581,0.87846,0.87572,0.8952,0.48798,0.87693,1.31305,0.31857,0.0078,0,0.000986085,0.000986085,0.000986085
7,6634.66,1.32846,2.05794,0.74044,0.00802,0,0.9422,0.9425,0.98297,0.66568,0.88619,0.88647,0.90351,0.50189,0.87148,1.30295,0.29994,0.00777,0,0.000980008,0.000980008,0.000980008
8,7568.29,1.31865,2.03975,0.72405,0.00796,0,0.95213,0.94323,0.9842,0.66783,0.89877,0.88478,0.90375,0.5028,0.86755,1.30737,0.30048,0.00768,0,0.000972862,0.000972862,0.000972862
9,8500.91,1.3166,2.03966,0.72006,0.00793,0,0.95819,0.94986,0.98619,0.67231,0.90151,0.88473,0.90386,0.50849,0.85986,1.2967,0.28297,0.00761,0,0.000964664,0.000964664,0.000964664
10,9434.17,1.31258,2.03811,0.70069,0.00788,0,0.95075,0.95314,0.98615,0.67576,0.90401,0.89021,0.90826,0.509,0.85675,1.29617,0.28146,0.00753,0,0.000955436,0.000955436,0.000955436
11,10367.5,1.31302,2.01689,0.6935,0.0079,0,0.95809,0.95728,0.9878,0.67932,0.90495,0.89496,0.90866,0.50956,0.8528,1.28922,0.26965,0.00748,0,0.0009452,0.0009452,0.0009452
12,11303.6,1.30664,2.01705,0.69061,0.00785,0,0.95952,0.95773,0.98812,0.68007,0.90532,0.8996,0.90981,0.50987,0.84905,1.28782,0.26768,0.00743,0,0.000933981,0.000933981,0.000933981
13,12245.7,1.30612,2.01632,0.68039,0.00783,0,0.95984,0.96186,0.98821,0.68022,0.90714,0.90113,0.91164,0.51154,0.84628,1.28625,0.2625,0.0074,0,0.000921807,0.000921807,0.000921807
14,13186.7,1.30272,2.00702,0.67001,0.00781,0,0.95925,0.96095,0.98856,0.68018,0.90938,0.8973,0.91191,0.51054,0.84539,1.28379,0.26194,0.00739,0,0.00090871,0.00090871,0.00090871
15,14127.6,1.2959,1.99541,0.66836,0.00778,0,0.96362,0.95993,0.98882,0.68259,0.91009,0.90168,0.91306,0.51454,0.8435,1.28144,0.25828,0.0074,0,0.00089472,0.00089472,0.00089472
16,15068.6,1.29054,1.98923,0.65639,0.00775,0,0.96232,0.96267,0.98905,0.68203,0.91333,0.90171,0.91287,0.51356,0.84362,1.2791,0.25513,0.00737,0,0.000879873,0.000879873,0.000879873
17,16008.3,1.28941,1.99003,0.65937,0.00774,0,0.96171,0.9622,0.98849,0.68281,0.90821,0.9049,0.9133,0.51523,0.84252,1.27837,0.2578,0.00737,0,0.000864207,0.000864207,0.000864207
18,16951.3,1.28011,1.98132,0.65076,0.00768,0,0.96428,0.96262,0.98876,0.68469,0.91235,0.90141,0.91367,0.5166,0.83915,1.27646,0.25616,0.00734,0,0.000847759,0.000847759,0.000847759
19,17893.6,1.28506,1.97819,0.64232,0.00764,0,0.96283,0.96423,0.98909,0.68594,0.91034,0.89972,0.91106,0.51737,0.8371,1.2761,0.25418,0.0073,0,0.00083057,0.00083057,0.00083057
20,18839.8,1.27774,1.98152,0.63752,0.00759,0,0.96228,0.96514,0.98862,0.68626,0.90976,0.90374,0.91285,0.51782,0.83479,1.27455,0.25603,0.00729,0,0.000812685,0.000812685,0.000812685
21,19780.7,1.27363,1.97736,0.63334,0.00757,0,0.96462,0.96423,0.98897,0.68669,0.91148,0.90481,0.91333,0.51867,0.83429,1.27385,0.25326,0.00728,0,0.000794146,0.000794146,0.000794146
22,20722.9,1.27076,1.95999,0.62319,0.00755,0,0.96602,0.96534,0.98927,0.68654,0.91336,0.90583,0.91403,0.51821,0.83368,1.27179,0.25273,0.00726,0,0.000775,0.000775,0.000775
23,21663.7,1.26983,1.98267,0.62635,0.0075,0,0.96625,0.96514,0.98933,0.68858,0.91543,0.90617,0.91398,0.51926,0.833,1.2704,0.25238,0.00726,0,0.000755295,0.000755295,0.000755295
