epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,268.267,1.66756,1.34122,5.98408,0.0074,0,0.02252,0.19868,0.0044,0.00162,0.02185,0.1928,0.00427,0.0014,1.73758,0.88635,7.62407,0.00848,0,0.000199655,0.000199655,0.0802341
2,501.941,1.49196,1.14346,5.65464,0.0064,0,0.04948,0.29131,0.01461,0.00522,0.04957,0.29186,0.01464,0.00501,1.6986,1.01941,5.74193,0.00839,0,0.000399566,0.000399566,0.060434
3,734.087,1.44263,1.10887,5.64608,0.00617,0,0.03382,0.19978,0.0066,0.00253,0.03453,0.20401,0.00708,0.00249,1.6242,0.69595,6.3846,0.00799,0,0.000599123,0.000599123,0.0406336
4,966.507,1.42357,1.0887,5.63151,0.00603,0,0.01107,0.26411,0.00294,0.00127,0.01115,0.26594,0.00296,0.00122,1.66218,0.7003,15.2047,0.00826,0,0.000798058,0.000798058,0.0208325
5,1198.23,1.38497,1.04961,5.61951,0.00584,0,0.03192,0.24609,0.00785,0.00328,0.03173,0.24462,0.0078,0.00293,1.61779,0.69099,5.42196,0.00798,0,0.000996108,0.000996108,0.00103059
6,1428.4,1.38459,1.02599,5.61886,0.00585,0,0.03397,0.26006,0.00904,0.00352,0.03376,0.25841,0.00865,0.00334,1.62191,0.68826,7.64945,0.00801,0,0.00099446,0.00099446,0.00099446
7,1657.98,1.34867,1.01483,5.60576,0.00569,0,0.03616,0.17387,0.00633,0.00237,0.03594,0.17276,0.00629,0.00229,1.5682,0.7262,6.22468,0.00763,0,0.000992029,0.000992029,0.000992029
8,1888.64,1.34173,1.00069,5.6012,0.00567,0,0.0422,0.2415,0.01046,0.0039,0.04204,0.24058,0.0104,0.00358,1.59566,0.70103,5.70476,0.00785,0,0.000989163,0.000989163,0.000989163
9,2119.51,1.32739,0.98348,5.59983,0.00561,0,0.0488,0.28414,0.0167,0.00693,0.04874,0.28377,0.01657,0.00672,1.56197,0.70786,5.70937,0.00767,0,0.000985862,0.000985862,0.000985862
10,2349.55,1.30579,0.97566,5.59352,0.00551,0,0.02606,0.24646,0.00647,0.00255,0.02597,0.24554,0.00646,0.00244,1.56103,0.7053,8.32359,0.00758,0,0.000982132,0.000982132,0.000982132
11,2580.98,1.30544,0.97493,5.59457,0.00548,0,0.04463,0.2165,0.01224,0.0043,0.04463,0.2165,0.01214,0.00417,1.57358,0.69235,5.22647,0.00761,0,0.000977975,0.000977975,0.000977975
12,2811.37,1.30294,0.96639,5.59585,0.0054,0,0.03192,0.27091,0.01269,0.00546,0.03205,0.27201,0.01269,0.00544,1.56793,0.70331,6.63849,0.00784,0,0.000973396,0.000973396,0.000973396
13,3041.96,1.28783,0.95864,5.58927,0.00539,0,0.02511,0.28414,0.00731,0.00274,0.02523,0.28543,0.00734,0.00259,1.53722,0.69515,6.36368,0.0074,0,0.000968399,0.000968399,0.000968399
14,3272.12,1.28527,0.94488,5.58561,0.00539,0,0.01642,0.22698,0.00369,0.00115,0.01673,0.23139,0.00393,0.0012,1.51122,0.65928,8.92584,0.00733,0,0.00096299,0.00096299,0.00096299
15,3501.49,1.27482,0.94719,5.58291,0.00536,0,0.01952,0.28837,0.0059,0.00226,0.01963,0.29002,0.00607,0.0022,1.53781,0.70819,7.89551,0.00749,0,0.000957172,0.000957172,0.000957172
16,3731.89,1.28311,0.95563,5.5822,0.00533,0,0.02903,0.27403,0.00905,0.00353,0.0293,0.2766,0.00911,0.00349,1.52373,0.68985,6.35424,0.00747,0,0.000950953,0.000950953,0.000950953
17,3961.88,1.25957,0.93773,5.57572,0.00523,0,0.02268,0.24003,0.00601,0.00225,0.02255,0.23874,0.00577,0.00214,1.51954,0.70707,5.37925,0.00738,0,0.000944338,0.000944338,0.000944338
18,4194.03,1.26094,0.93532,5.57919,0.00525,0,0.03102,0.25032,0.00859,0.00296,0.03133,0.25289,0.00877,0.00296,1.50279,0.66165,5.49934,0.00726,0,0.000937334,0.000937334,0.000937334
19,4424.69,1.25821,0.93851,5.57941,0.00522,0,0.02759,0.26264,0.00976,0.00384,0.02711,0.25804,0.00933,0.0036,1.52416,0.68137,4.91666,0.0074,0,0.000929948,0.000929948,0.000929948
20,4655.28,1.23723,0.92905,5.57226,0.00514,0,0.044,0.35674,0.0241,0.0096,0.04484,0.36354,0.02493,0.00979,1.54472,0.7208,4.47557,0.00751,0,0.000922186,0.000922186,0.000922186
21,4885.51,1.24814,0.93511,5.57317,0.00516,0,0.03268,0.29278,0.01939,0.00905,0.03244,0.29057,0.01925,0.00844,1.51521,0.71874,4.7179,0.00733,0,0.000914058,0.000914058,0.000914058
22,5116.17,1.24508,0.93169,5.57585,0.00519,0,0.03472,0.28873,0.02044,0.00899,0.0349,0.2902,0.02093,0.00857,1.52963,0.70539,4.78599,0.00749,0,0.00090557,0.00090557,0.00090557
23,5347.18,1.24895,0.93526,5.56696,0.00513,0,0.02644,0.15383,0.00981,0.00346,0.03124,0.11174,0.00993,0.00349,1.50087,0.69761,4.92672,0.0072,0,0.000896731,0.000896731,0.000896731
24,5578.28,1.23856,0.9258,5.56956,0.00516,0,0.02169,0.28598,0.00932,0.00353,0.02148,0.28322,0.00933,0.00339,1.51036,0.68241,5.09982,0.00734,0,0.00088755,0.00088755,0.00088755
25,5808.74,1.22684,0.92172,5.57615,0.00507,0,0.02982,0.31649,0.01676,0.00648,0.03008,0.31924,0.01683,0.00588,1.52352,0.7059,4.92705,0.00732,0,0.000878036,0.000878036,0.000878036
26,6040.21,1.22442,0.91635,5.56864,0.00506,0,0.02444,0.26484,0.0134,0.00582,0.02468,0.19739,0.01349,0.00672,1.48031,0.69288,4.9276,0.00713,0,0.000868198,0.000868198,0.000868198
27,6270.48,1.22707,0.91777,5.57081,0.00507,0,0.01949,0.23782,0.00743,0.00327,0.01978,0.24132,0.00767,0.00328,1.48886,0.70173,4.92458,0.00715,0,0.000858046,0.000858046,0.000858046
