epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6652,1.12413,2.23751,7.708,0.00874,0,0,0,0,0,0,0,0,0,2.47683,14.8524,6.72583,0.03022,0,0.000196825,0.000196825,0.0805143
2,84.2927,0.91791,1.69608,6.31262,0.00634,0,0.35737,0.33871,0.26644,0.16278,0.35737,0.33871,0.26697,0.16252,1.43666,2.36624,3.27338,0.01476,0,0.000396737,0.000396737,0.0607142
3,108.724,0.887,1.57634,6.19492,0.00659,0,0.30117,0.41012,0.25229,0.14988,0.30117,0.41012,0.25319,0.16858,1.54969,1.53066,6.17352,0.01738,0,0.000596295,0.000596295,0.0409138
4,132.493,0.83278,1.3906,6.18798,0.00588,0,0.36132,0.25,0.17928,0.13196,0.36132,0.25,0.18049,0.1148,1.17982,1.25926,4.59151,0.01151,0,0.000795234,0.000795234,0.0211127
5,156.053,0.7453,1.34192,6.16229,0.00561,0,0.19751,0.16935,0.11147,0.09,0.19751,0.16935,0.11209,0.08894,1.0293,0.92696,5.12545,0.01036,0,0.000993288,0.000993288,0.00131075
6,179.538,0.76347,1.25691,6.16549,0.00547,0,0.31368,0.15323,0.1422,0.10462,0.31368,0.15323,0.14278,0.10573,1.13357,0.92064,4.15831,0.01144,0,0.00099446,0.00099446,0.00099446
7,202.706,0.77381,1.28067,6.15717,0.00573,0,0.236,0.33871,0.23669,0.17155,0.236,0.33871,0.23588,0.17052,1.05366,1.06144,8.83116,0.0101,0,0.000992029,0.000992029,0.000992029
8,226.585,0.79205,1.2561,6.14819,0.00554,0,0.40607,0.19355,0.18438,0.1332,0.40607,0.19355,0.18438,0.14961,1.14684,0.94877,3.77574,0.01158,0,0.000989163,0.000989163,0.000989163
9,250.057,0.71396,1.21339,6.1318,0.00504,0,0.23082,0.29839,0.17558,0.13172,0.23082,0.29839,0.17558,0.1324,1.08998,0.80205,6.63162,0.01307,0,0.000985862,0.000985862,0.000985862
10,273.456,0.70308,1.22298,6.12905,0.00503,0,0.3379,0.16129,0.11782,0.0778,0.3379,0.16129,0.11852,0.09254,1.15971,0.91034,4.2902,0.01078,0,0.000982132,0.000982132,0.000982132
11,296.903,0.6766,1.16113,6.13215,0.00464,0,0.42423,0.16129,0.14739,0.11459,0.42423,0.16129,0.14792,0.1129,0.98897,1.06479,3.7079,0.01047,0,0.000977975,0.000977975,0.000977975
