epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,696.81,1.16914,2.2726,5.89416,0.01118,0,0.16118,0.40703,0.07493,0.02323,0.18431,0.46544,0.09906,0.04634,1.40811,2.44833,4.50466,0.02047,0,0.000199891,0.000199891,0.0802108
2,1346.22,0.98554,1.77501,5.74027,0.00901,0,0.18228,0.10306,0.06917,0.01993,0.20229,0.11437,0.08161,0.02835,1.54639,1.554,4.45259,0.02121,0,0.000399803,0.000399803,0.0604107
3,1983.28,0.94364,1.67778,5.74264,0.00852,0,0.22003,0.25382,0.17161,0.06562,0.24043,0.28287,0.20002,0.09096,1.62578,1.37256,3.41719,0.02403,0,0.000599359,0.000599359,0.0406102
4,2616.14,0.89531,1.58391,5.72954,0.00803,0,0.20617,0.2737,0.15314,0.05379,0.22841,0.30553,0.18317,0.0761,1.6058,1.26331,3.9869,0.02313,0,0.000798294,0.000798294,0.0208092
5,3247.77,0.84371,1.52302,5.7151,0.00756,0,0.2646,0.26208,0.16077,0.05946,0.27874,0.28624,0.18484,0.07966,1.42438,1.18416,4.45447,0.02037,0,0.000996343,0.000996343,0.00100721
6,3874.01,0.8141,1.48304,5.70566,0.00725,0,0.27014,0.24251,0.16943,0.04771,0.35099,0.30282,0.25135,0.08431,1.44119,1.18639,3.77586,0.02127,0,0.00099446,0.00099446,0.00099446
7,4498.95,0.78571,1.44088,5.70681,0.00691,0,0.12164,0.20673,0.09285,0.03158,0.1388,0.21713,0.10775,0.04435,1.3438,1.32299,3.92444,0.01997,0,0.000992029,0.000992029,0.000992029
8,5128.1,0.76293,1.40001,5.70235,0.00673,0,0.27642,0.22446,0.15373,0.05368,0.28545,0.2318,0.16515,0.07872,1.39112,1.29586,4.106,0.02068,0,0.000989163,0.000989163,0.000989163
9,5756.61,0.75493,1.38467,5.69372,0.00662,0,0.33315,0.32997,0.23314,0.10281,0.34977,0.35443,0.25407,0.12087,1.43338,1.31113,3.8118,0.02095,0,0.000985862,0.000985862,0.000985862
10,6379.69,0.74149,1.36593,5.69424,0.00648,0,0.19521,0.31804,0.16731,0.06781,0.24933,0.24006,0.17067,0.08292,1.4807,1.48615,4.39532,0.02001,0,0.000982132,0.000982132,0.000982132
11,7002.03,0.73379,1.34776,5.69302,0.00634,0,0.2,0.21988,0.14463,0.05065,0.20134,0.23028,0.15526,0.06633,1.43803,1.194,4.18076,0.01965,0,0.000977975,0.000977975,0.000977975
12,7640.02,0.72137,1.33514,5.69,0.00623,0,0.17792,0.23945,0.133,0.04687,0.18904,0.26116,0.14755,0.06198,1.42979,1.1653,4.59449,0.01958,0,0.000973396,0.000973396,0.000973396
13,8271.9,0.71177,1.31598,5.68764,0.0062,0,0.12438,0.23986,0.08191,0.02822,0.13278,0.25607,0.09145,0.03732,1.36449,1.28351,4.17628,0.01877,0,0.000968399,0.000968399,0.000968399
14,8899.81,0.70208,1.30313,5.68937,0.00605,0,0.21257,0.24526,0.16561,0.07001,0.20072,0.30856,0.18106,0.08898,1.34481,1.1819,4.73292,0.01776,0,0.00096299,0.00096299,0.00096299
15,9519.82,0.70231,1.30604,5.68556,0.00605,0,0.14204,0.24709,0.11428,0.0414,0.14978,0.26055,0.12225,0.05301,1.35626,1.26679,4.60655,0.0178,0,0.000957172,0.000957172,0.000957172
16,10146.4,0.69137,1.28482,5.69294,0.00594,0,0.15291,0.31437,0.14261,0.07121,0.15565,0.33517,0.14993,0.0848,1.256,1.27739,4.80726,0.01751,0,0.000950953,0.000950953,0.000950953
17,10768.9,0.68334,1.27068,5.68073,0.00584,0,0.16839,0.27339,0.12404,0.05314,0.17404,0.27462,0.12955,0.06287,1.30252,1.38083,3.95516,0.01661,0,0.000944338,0.000944338,0.000944338
18,11389,0.68002,1.26877,5.6796,0.00578,0,0.20807,0.26208,0.15145,0.06598,0.20385,0.27676,0.15909,0.07826,1.32031,1.36928,4.20586,0.01836,0,0.000937334,0.000937334,0.000937334
