epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,566.762,1.19354,1.95311,0.59777,1.1276,0,0.97977,0.97555,0.99091,0.67844,0.91829,0.91217,0.90716,0.5036,0.86203,1.30226,0.43029,0.9682,0,0.000199919,0.000199919,0.080208
2,1113,1.17612,1.92483,0.57109,1.1185,0,0.97993,0.97691,0.99079,0.67264,0.92056,0.91425,0.9106,0.50486,0.87435,1.30477,0.35305,0.97174,0,0.000399534,0.000399534,0.0604076
3,1654.6,1.17582,1.92851,0.56958,1.11631,0,0.98017,0.97883,0.99078,0.68887,0.9129,0.91036,0.90562,0.52317,0.83817,1.26719,0.34055,0.95354,0,0.00059761,0.00059761,0.0406057
4,2206.56,1.16825,1.91,0.55765,1.1134,0,0.97713,0.97985,0.99026,0.69007,0.92515,0.92575,0.91979,0.52595,0.83482,1.26092,0.34038,0.95533,0,0.000793003,0.000793003,0.0208011
5,2760.89,1.16439,1.90515,0.55315,1.11385,0,0.9802,0.98033,0.99123,0.68905,0.92412,0.92315,0.91931,0.52054,0.84119,1.26826,0.33282,0.95722,0,0.000984587,0.000984587,0.000992645
6,3316.91,1.16354,1.89687,0.55155,1.11157,0,0.97789,0.98101,0.99036,0.69097,0.92298,0.92337,0.91828,0.52671,0.83208,1.2622,0.32809,0.95208,0,0.000976119,0.000976119,0.000976119
7,3884.06,1.16384,1.89588,0.5518,1.11202,0,0.98151,0.98325,0.99138,0.69035,0.9207,0.91988,0.91411,0.52164,0.83138,1.25909,0.32521,0.95464,0,0.000965746,0.000965746,0.000965746
8,4435.3,1.15729,1.89095,0.54979,1.10767,0,0.98097,0.98302,0.99087,0.69297,0.92536,0.92564,0.91983,0.5252,0.82837,1.25853,0.32207,0.95078,0,0.000953593,0.000953593,0.000953593
9,4985.7,1.16406,1.90072,0.54665,1.10657,0,0.97918,0.98472,0.99138,0.69183,0.9194,0.92315,0.9164,0.52457,0.82524,1.25284,0.31769,0.94865,0,0.000939711,0.000939711,0.000939711
10,5540.48,1.16039,1.89562,0.54475,1.10775,0,0.98057,0.98261,0.99101,0.69378,0.92273,0.92321,0.91733,0.52581,0.82228,1.25234,0.31606,0.94862,0,0.000924161,0.000924161,0.000924161
11,6107.62,1.15533,1.8848,0.54293,1.10517,0,0.97844,0.9828,0.99095,0.695,0.92095,0.92349,0.91855,0.52718,0.81951,1.25018,0.31437,0.94714,0,0.000907009,0.000907009,0.000907009
12,6669.5,1.15427,1.89347,0.54293,1.10583,0,0.97946,0.98248,0.99114,0.69647,0.9251,0.92371,0.91989,0.52913,0.81983,1.2486,0.31116,0.94749,0,0.000888328,0.000888328,0.000888328
13,7246.04,1.15671,1.88815,0.53973,1.11035,0,0.97828,0.98386,0.99099,0.69581,0.92321,0.92396,0.91859,0.52856,0.82171,1.24701,0.30853,0.94798,0,0.000868198,0.000868198,0.000868198
14,7828.29,1.14796,1.88931,0.54038,1.10527,0,0.9786,0.98362,0.99105,0.69696,0.92358,0.92608,0.92027,0.52896,0.81838,1.248,0.30665,0.94737,0,0.000846706,0.000846706,0.000846706
15,8403.8,1.15157,1.87733,0.53759,1.1044,0,0.97829,0.9844,0.99109,0.69789,0.92326,0.92711,0.91988,0.53045,0.81698,1.24392,0.3043,0.9462,0,0.000823943,0.000823943,0.000823943
16,8985.92,1.14175,1.87607,0.53721,1.10117,0,0.97893,0.98317,0.99097,0.69854,0.92202,0.92507,0.9189,0.52962,0.81536,1.24312,0.30488,0.94506,0,0.000800007,0.000800007,0.000800007
17,9569.69,1.13956,1.86992,0.53247,1.09972,0,0.97827,0.98438,0.99113,0.69843,0.92466,0.9296,0.92051,0.52942,0.81518,1.24154,0.30377,0.94543,0,0.000775,0.000775,0.000775
18,10139.7,1.14117,1.87158,0.53057,1.10089,0,0.97859,0.98449,0.9912,0.69895,0.92441,0.92884,0.91976,0.52917,0.81552,1.24236,0.30277,0.94545,0,0.00074903,0.00074903,0.00074903
