epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,170.025,1.82638,2.93156,1.28279,1.39999,0,0.91847,0.88206,0.93447,0.46078,0.73217,0.69484,0.60482,0.16489,1.68761,3.82428,0.87097,1.32811,0,0.000199655,0.000199655,0.0802341
2,333.05,1.69723,2.68532,0.93825,1.32253,0,0.94815,0.85028,0.92711,0.46678,0.80264,0.72131,0.69545,0.20386,1.6794,2.90518,0.8668,1.32711,0,0.000399566,0.000399566,0.060434
3,495.487,1.66389,2.65804,0.86721,1.31112,0,0.93516,0.90572,0.94936,0.48516,0.83336,0.80333,0.76872,0.25518,1.62333,2.55911,0.73659,1.29355,0,0.000599123,0.000599123,0.0406336
4,658.953,1.64122,2.60951,0.83231,1.30387,0,0.96033,0.93883,0.96628,0.50499,0.84252,0.82356,0.75903,0.25275,1.59941,2.5539,0.65981,1.27545,0,0.000798058,0.000798058,0.0208325
5,820.214,1.61272,2.56559,0.79627,1.2918,0,0.96085,0.94261,0.96932,0.50622,0.85601,0.83679,0.7955,0.26137,1.57754,2.48384,0.6459,1.28533,0,0.000996108,0.000996108,0.00103059
6,983.315,1.61634,2.55086,0.78698,1.29188,0,0.96348,0.95026,0.97101,0.52251,0.86329,0.84494,0.79824,0.27941,1.53284,2.44996,0.64857,1.2727,0,0.00099446,0.00099446,0.00099446
7,1146.58,1.60471,2.52507,0.76727,1.28741,0,0.95945,0.95671,0.97447,0.52083,0.84545,0.8405,0.78296,0.2667,1.5473,2.49279,0.63682,1.27885,0,0.000992029,0.000992029,0.000992029
8,1309.71,1.5845,2.51388,0.75465,1.27657,0,0.96665,0.95886,0.97701,0.52624,0.85923,0.84801,0.79737,0.28026,1.54693,2.44304,0.60671,1.27097,0,0.000989163,0.000989163,0.000989163
9,1472.3,1.57924,2.50773,0.73962,1.27394,0,0.95621,0.95914,0.97626,0.52698,0.86352,0.86014,0.81419,0.27923,1.54735,2.43668,0.6131,1.2561,0,0.000985862,0.000985862,0.000985862
10,1633.9,1.57094,2.48262,0.73418,1.27022,0,0.96832,0.95883,0.97831,0.53861,0.87515,0.85802,0.8233,0.2972,1.51935,2.44014,0.59097,1.26126,0,0.000982132,0.000982132,0.000982132
11,1795.45,1.5563,2.47555,0.71413,1.26419,0,0.96403,0.96546,0.97969,0.54002,0.8675,0.86216,0.79793,0.27687,1.51204,2.43152,0.58658,1.2548,0,0.000977975,0.000977975,0.000977975
12,1956.06,1.56176,2.47084,0.719,1.2725,0,0.96327,0.96508,0.97731,0.53963,0.86905,0.86583,0.80072,0.2785,1.50524,2.42117,0.60924,1.24815,0,0.000973396,0.000973396,0.000973396
13,2117.75,1.55125,2.45043,0.7096,1.26122,0,0.96447,0.96159,0.97499,0.54095,0.87352,0.86381,0.80144,0.28336,1.51067,2.41273,0.59025,1.2502,0,0.000968399,0.000968399,0.000968399
14,2278.17,1.54163,2.45087,0.70247,1.26417,0,0.9679,0.96104,0.97776,0.54135,0.86955,0.86142,0.80826,0.29205,1.51162,2.40824,0.57035,1.25657,0,0.00096299,0.00096299,0.00096299
15,2440.85,1.54136,2.44338,0.70302,1.26401,0,0.9674,0.96784,0.9811,0.5442,0.8666,0.86678,0.80153,0.27532,1.49407,2.41433,0.57394,1.2508,0,0.000957172,0.000957172,0.000957172
16,2604.1,1.53279,2.43751,0.69145,1.26067,0,0.96704,0.96521,0.97945,0.5478,0.87112,0.86657,0.80791,0.28969,1.49747,2.39707,0.57111,1.24632,0,0.000950953,0.000950953,0.000950953
17,2767.66,1.52519,2.42555,0.68601,1.25304,0,0.96914,0.96618,0.97773,0.5457,0.86289,0.86058,0.79738,0.28117,1.49599,2.41217,0.57662,1.24768,0,0.000944338,0.000944338,0.000944338
18,2929.88,1.52372,2.42069,0.68331,1.24946,0,0.96451,0.96343,0.98129,0.55145,0.86827,0.86289,0.80131,0.27951,1.49239,2.39024,0.58239,1.24596,0,0.000937334,0.000937334,0.000937334
19,3093.29,1.51356,2.40612,0.67515,1.24629,0,0.96533,0.96784,0.97834,0.54816,0.87495,0.8744,0.82658,0.29076,1.50686,2.40851,0.5606,1.23924,0,0.000929948,0.000929948,0.000929948
20,3256.34,1.52722,2.41377,0.67902,1.25346,0,0.97193,0.96089,0.98058,0.55337,0.88172,0.86969,0.83372,0.2943,1.48933,2.39406,0.5536,1.24328,0,0.000922186,0.000922186,0.000922186
21,3422.9,1.50979,2.3908,0.66873,1.24277,0,0.97151,0.96513,0.98091,0.55684,0.87487,0.8673,0.81132,0.29007,1.47763,2.37963,0.55885,1.23459,0,0.000914058,0.000914058,0.000914058
22,3586.77,1.5097,2.40178,0.66616,1.24429,0,0.96748,0.96767,0.98001,0.55249,0.88163,0.87742,0.82677,0.28968,1.4968,2.37912,0.549,1.24256,0,0.00090557,0.00090557,0.00090557
23,3745.35,1.5128,2.39619,0.6738,1.2491,0,0.96858,0.96889,0.98083,0.55458,0.86974,0.86933,0.81155,0.28995,1.49218,2.39112,0.53627,1.24167,0,0.000896731,0.000896731,0.000896731
24,3904.74,1.49854,2.385,0.66739,1.24517,0,0.96867,0.9671,0.9809,0.56098,0.87259,0.86933,0.81277,0.29435,1.47076,2.3722,0.55311,1.23502,0,0.00088755,0.00088755,0.00088755
25,4064.58,1.502,2.38488,0.66517,1.24409,0,0.96914,0.96978,0.97926,0.5626,0.87932,0.87851,0.83139,0.30432,1.46958,2.36935,0.54852,1.2352,0,0.000878036,0.000878036,0.000878036
26,4227.1,1.49552,2.37444,0.65621,1.23769,0,0.96888,0.96949,0.97994,0.56055,0.87626,0.87613,0.81763,0.29432,1.47677,2.36786,0.54679,1.23522,0,0.000868198,0.000868198,0.000868198
27,4389.76,1.49148,2.37724,0.66343,1.23535,0,0.96701,0.96979,0.98,0.55651,0.87766,0.87778,0.82483,0.29758,1.47254,2.36443,0.55065,1.23435,0,0.000858046,0.000858046,0.000858046
28,4553.47,1.48398,2.36941,0.64531,1.23475,0,0.96994,0.97242,0.98199,0.55865,0.87158,0.87392,0.81969,0.2983,1.47399,2.36879,0.54556,1.23897,0,0.00084759,0.00084759,0.00084759
29,4717.11,1.48778,2.38005,0.65139,1.23564,0,0.97004,0.97078,0.97998,0.55876,0.87869,0.87861,0.81503,0.29405,1.46806,2.35823,0.54239,1.2328,0,0.000836841,0.000836841,0.000836841
30,4879.94,1.4839,2.36195,0.65201,1.23509,0,0.96867,0.97353,0.98114,0.55966,0.87335,0.87723,0.82169,0.29555,1.46744,2.36315,0.54732,1.23671,0,0.000825808,0.000825808,0.000825808
31,5044.35,1.47256,2.37521,0.64357,1.2316,0,0.9694,0.97232,0.97988,0.56032,0.87116,0.87365,0.80675,0.2911,1.4614,2.35888,0.54138,1.22992,0,0.000814503,0.000814503,0.000814503
32,5208.88,1.47366,2.36307,0.64415,1.22345,0,0.96788,0.9739,0.98056,0.56159,0.87008,0.87512,0.81036,0.28947,1.46441,2.3628,0.54291,1.22968,0,0.000802938,0.000802938,0.000802938
