epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1213,1.23767,1.72488,1.81499,1.11577,0,0.34553,0.68548,0.61237,0.36721,0,0,0,0,1.49574,118.346,3.51189,1.23875,0,0.000196825,0.000196825,0.0805143
2,36.2843,0.98007,1.17073,0.90107,0.96946,0,0.97483,0.93706,0.98484,0.73424,0.92355,0.87687,0.91769,0.60378,0.90901,1.81862,0.93197,0.9158,0,0.000396737,0.000396737,0.0607142
3,52.448,0.92304,1.07747,0.79991,0.95796,0,0.98306,0.93606,0.97606,0.75344,0.98306,0.93606,0.97606,0.80138,0.82821,0.90872,0.96776,0.86355,0,0.000596295,0.000596295,0.0409138
4,68.8862,0.92329,0.9756,0.7875,0.95397,0,0.95182,0.95602,0.98581,0.73681,0.95182,0.95602,0.98793,0.84293,0.88108,0.76707,0.69153,0.87326,0,0.000795234,0.000795234,0.0211127
5,85.2144,0.90653,0.96975,0.75078,0.94092,0,0.99662,0.95968,0.99001,0.78809,0.99662,0.95968,0.99205,0.80784,0.78534,0.85807,0.61898,0.84811,0,0.000993288,0.000993288,0.00131075
6,101.571,0.85552,0.95733,0.72613,0.93356,0,0.98361,0.97581,0.99181,0.78555,0.98361,0.97581,0.99181,0.82208,0.7945,0.77777,0.60179,0.88083,0,0.00099446,0.00099446,0.00099446
7,117.82,0.84405,0.9023,0.69005,0.93673,0,0.97572,0.97221,0.99126,0.8203,0.97572,0.97221,0.99126,0.82853,0.69551,0.72713,0.56075,0.83143,0,0.000992029,0.000992029,0.000992029
8,134.297,0.82367,0.89919,0.65548,0.93639,0,0.95166,0.95259,0.98443,0.80144,0.95166,0.95259,0.98443,0.81793,0.75873,0.71899,0.62097,0.88408,0,0.000989163,0.000989163,0.000989163
9,150.524,0.81366,0.84952,0.64895,0.92853,0,0.98093,0.95968,0.98883,0.81436,0.98534,0.95968,0.98957,0.83217,0.65463,0.68279,0.53429,0.85329,0,0.000985862,0.000985862,0.000985862
10,166.669,0.80762,0.87879,0.63389,0.92436,0,0.96939,0.98387,0.99348,0.80532,0.96939,0.98387,0.99348,0.82661,0.72825,0.68194,0.53307,0.85433,0,0.000982132,0.000982132,0.000982132
11,183.103,0.77012,0.85351,0.61282,0.9147,0,0.99034,0.96774,0.99397,0.83607,0.99034,0.96774,0.99397,0.8517,0.65164,0.67164,0.48278,0.83688,0,0.000977975,0.000977975,0.000977975
12,199.065,0.76193,0.88488,0.5978,0.91655,0,0.97242,0.97581,0.99186,0.82212,0.97242,0.97581,0.99186,0.83552,0.69742,0.61546,0.53277,0.84847,0,0.000973396,0.000973396,0.000973396
13,215.102,0.72343,0.81686,0.56463,0.90041,0,0.99332,0.98387,0.99492,0.84708,0.99332,0.98387,0.99492,0.86272,0.61045,0.58502,0.4702,0.82431,0,0.000968399,0.000968399,0.000968399
14,231.169,0.73418,0.80051,0.56487,0.91178,0,1,0.99045,0.995,0.83916,1,0.99045,0.995,0.8298,0.61068,0.65617,0.45189,0.83097,0,0.00096299,0.00096299,0.00096299
15,247.525,0.7475,0.8799,0.5747,0.91311,0,1,0.98997,0.995,0.83655,1,0.98997,0.995,0.83009,0.64868,0.66596,0.46775,0.82463,0,0.000957172,0.000957172,0.000957172
16,263.476,0.72436,0.81601,0.56864,0.90472,0,0.99085,1,0.99484,0.84421,0.99085,1,0.99484,0.81245,0.62042,0.78968,0.44756,0.83013,0,0.000950953,0.000950953,0.000950953
17,279.404,0.75045,0.86997,0.57039,0.90701,0,0.96914,0.96774,0.99293,0.85754,0.96914,0.96774,0.99293,0.86413,0.6037,0.57856,0.4619,0.82589,0,0.000944338,0.000944338,0.000944338
18,295.53,0.70211,0.81361,0.54457,0.90017,0,0.99193,0.9911,0.99468,0.86212,0.99193,0.9911,0.99468,0.84902,0.56856,0.58853,0.47301,0.82157,0,0.000937334,0.000937334,0.000937334
19,311.447,0.69545,0.79678,0.54408,0.89589,0,0.99115,0.99194,0.9946,0.84711,0.99115,0.99194,0.9946,0.86015,0.59726,0.5983,0.44655,0.83629,0,0.000929948,0.000929948,0.000929948
20,327.942,0.68929,0.77931,0.5287,0.89453,0,0.9826,1,0.99476,0.87815,0.9826,1,0.99476,0.86358,0.5364,0.56647,0.3964,0.81962,0,0.000922186,0.000922186,0.000922186
21,344.16,0.67226,0.82344,0.51955,0.89137,0,0.98194,0.99194,0.9946,0.85679,0.98194,0.99194,0.9946,0.86712,0.5969,0.57788,0.40951,0.82226,0,0.000914058,0.000914058,0.000914058
22,360.264,0.6467,0.7638,0.50167,0.88516,0,0.99136,0.98387,0.99373,0.87468,0.99136,0.98387,0.99174,0.83769,0.53497,0.78964,0.39922,0.80539,0,0.00090557,0.00090557,0.00090557
23,376.543,0.69019,0.77559,0.513,0.89666,0,1,0.99087,0.995,0.85658,1,0.99087,0.995,0.84875,0.55962,0.59488,0.39993,0.82679,0,0.000896731,0.000896731,0.000896731
