epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,398.746,0.82281,1.29792,0.44032,0.99104,0,0.99939,0.99895,0.995,0.8314,0.99969,0.99816,0.995,0.76508,0.67963,0.98155,0.28467,0.89552,0,0.000199891,0.000199891,0.0802108
2,786.264,0.80558,1.2673,0.41816,0.98429,0,0.99961,0.99969,0.995,0.83539,0.99961,0.99969,0.995,0.75324,0.67088,1.04138,0.27356,0.88771,0,0.000398968,0.000398968,0.0604098
3,1172.27,0.80516,1.25542,0.41348,0.98393,0,0.99969,1,0.995,0.84133,0.99969,1,0.995,0.77523,0.65229,0.95245,0.27718,0.88118,0,0.000594365,0.000594365,0.0406052
4,1558.57,0.80312,1.24508,0.40983,0.98281,0,0.99967,1,0.995,0.83854,0.99967,1,0.995,0.77111,0.65826,0.94754,0.26856,0.88302,0,0.000783384,0.000783384,0.0207943
5,1940.84,0.80028,1.24454,0.4034,0.98133,0,0.99962,1,0.99499,0.83975,0.99962,1,0.99499,0.76599,0.65591,0.96044,0.25705,0.88192,0,0.000963426,0.000963426,0.000974296
6,2325.88,0.80144,1.2471,0.40515,0.98307,0,0.9999,1,0.995,0.84096,0.9999,1,0.995,0.76988,0.65619,0.95065,0.25929,0.88377,0,0.000943456,0.000943456,0.000943456
7,2709.99,0.79989,1.23954,0.40362,0.98263,0,0.99933,1,0.995,0.84136,0.99933,1,0.995,0.77174,0.65222,0.95097,0.25876,0.88236,0,0.000919344,0.000919344,0.000919344
8,3094.76,0.79796,1.24018,0.40137,0.98276,0,0.99961,1,0.995,0.83985,0.99961,1,0.995,0.77442,0.65562,0.94547,0.25798,0.88379,0,0.000891441,0.000891441,0.000891441
9,3480.81,0.79271,1.23748,0.39776,0.98172,0,0.99933,1,0.995,0.84398,0.99933,1,0.995,0.77258,0.65037,0.94607,0.25296,0.88111,0,0.000860035,0.000860035,0.000860035
10,3867.56,0.79396,1.23086,0.39556,0.98328,0,0.99963,1,0.995,0.83969,0.99963,1,0.995,0.77142,0.65047,0.94472,0.24784,0.88464,0,0.000825448,0.000825448,0.000825448
